SA2_CODE,Both_Parents_Born_Australia,Both_Parents_Born_Overseas,One_Parent_Born_Overseas,PERC_BOTH_BORN_AUST,PERC_BOTH_BORN_OS,PERC_ONE_BORN_OS
101021007,2423,562,421,0.7113916617733411,0.1650029359953024,0.12360540223135642
101021008,4888,1874,927,0.6357133567433997,0.24372480166471583,0.12056184159188452
101021009,5397,3403,1127,0.5436687821093986,0.3428024579429838,0.1135287599476176
101021010,2437,1494,535,0.5456784594715629,0.33452754142409313,0.11979399910434393
101021011,10090,3034,2134,0.6612924367544895,0.1988465067505571,0.13986105649495348
101021012,7535,2859,1699,0.623087736707186,0.23641776234185066,0.14049450095096336
101031013,1771,233,189,0.8075695394436845,0.10624715002279982,0.08618331053351573
101031014,4135,1170,652,0.6941413463152594,0.19640758771193553,0.1094510659728051
101031015,2141,507,307,0.7245346869712352,0.1715736040609137,0.1038917089678511
101031016,4230,1127,927,0.6731381285805219,0.17934436664544876,0.14751750477402928
101041017,5021,1334,690,0.7127040454222853,0.1893541518807665,0.09794180269694819
101041018,5196,1539,872,0.6830550808465886,0.20231365847245958,0.11463126068095175
101041019,5951,890,812,0.7776035541617666,0.11629426368744283,0.10610218215079054
101041020,5887,1238,946,0.7294015611448396,0.15338867550489407,0.11720976335026638
101041021,2175,480,367,0.7197220383851753,0.15883520847121113,0.1214427531436135
101041022,14,0,0,1,0,0
101041023,2170,437,268,0.7547826086956522,0.152,0.09321739130434782
101041024,2242,478,320,0.7375,0.15723684210526315,0.10526315789473684
101041025,6849,1766,1137,0.7023174733388023,0.18109105824446267,0.11659146841673503
101041026,5302,1240,816,0.7205762435444414,0.1685240554498505,0.11089970100570808
101041027,5761,1480,877,0.7096575511209657,0.1823109140182311,0.10803153486080315
101051539,16285,2502,1771,0.7921490417355774,0.12170444595777799,0.08614651230664462
101051540,9011,1501,1040,0.7800380886426593,0.1299342105263158,0.09002770083102493
101061541,4769,633,645,0.788655531668596,0.10468000661485034,0.10666446171655367
101061542,7726,1625,1338,0.7227991393020863,0.15202544672092805,0.1251754139769857
101061543,8233,801,750,0.8414758789860998,0.08186835650040883,0.07665576451349142
101061544,5711,609,462,0.8420819817163079,0.08979652020053082,0.06812149808316131
102011028,4227,1581,1124,0.6097807270628968,0.22807270628967108,0.1621465666474322
102011029,6728,1980,1459,0.6617487951214714,0.1947477131897315,0.14350349168879709
102011030,2671,988,539,0.636255359695093,0.23535016674606957,0.12839447355883754
102011031,7732,3285,1823,0.6021806853582554,0.2558411214953271,0.14197819314641744
102011032,10055,4918,2432,0.5777075553002011,0.28256248204538925,0.13972996265440965
102011033,3607,1450,906,0.6048968639946336,0.2431661915143384,0.15193694449102801
102011034,4568,1367,1024,0.6564161517459405,0.19643626957896249,0.147147578675097
102011035,3991,1453,908,0.6283060453400504,0.22874685138539042,0.1429471032745592
102011036,4931,1606,1130,0.6431459501760793,0.20946915351506457,0.14738489630885615
102011037,3485,1485,959,0.5877888345420813,0.2504638218923933,0.1617473435655254
102011038,4570,1113,935,0.6905409489271683,0.16817769718948322,0.14128135388334845
102011039,7707,3126,1841,0.6080953132397033,0.2466466782389143,0.14525800852138235
102011040,14473,4404,2979,0.6621980234260615,0.20150073206442168,0.13630124450951683
102011041,6282,1664,1329,0.6773045822102426,0.17940700808625337,0.14328840970350404
102011042,8391,2801,1703,0.6507173322993408,0.21721597518417993,0.13206669251647926
102011043,6549,2478,1445,0.6253819709702063,0.23663101604278075,0.137987012987013
102021044,14760,2995,2686,0.7220781762144709,0.1465192505259038,0.13140257325962526
102021045,7601,1492,1378,0.7259096552382771,0.14248877853118136,0.1316015662305415
102021046,6463,1261,1038,0.7376169824241041,0.14391691394658754,0.11846610362930837
102021047,10197,2333,2058,0.6989991774060872,0.15992596654784755,0.14107485604606526
102021048,14290,3357,2547,0.7076359314647915,0.16623749628602555,0.12612657224918292
102021049,2103,503,439,0.69064039408867,0.1651888341543514,0.14417077175697865
102021050,7421,1491,1155,0.7371610211582398,0.14810767855369028,0.11473130028806994
102021051,3017,922,700,0.6503556801034706,0.19874973054537615,0.15089458935115327
102021052,4026,823,657,0.7312023247366509,0.14947330185252453,0.11932437341082455
102021053,9589,2379,1728,0.7001314252336449,0.1737003504672897,0.1261682242990654
102021054,6398,1328,1022,0.7313671696387746,0.1518061271147691,0.11682670324645633
102021055,3061,1196,668,0.6215228426395939,0.24284263959390862,0.13563451776649746
102021056,9514,3044,1936,0.656409548778805,0.21001793845729266,0.1335725127639023
102021057,5429,1659,1051,0.667035262317238,0.20383339476594176,0.12913134291682024
103011058,16578,2689,2118,0.7752162730886135,0.12574234276361937,0.09904138414776713
103011059,8483,1081,884,0.8119257274119449,0.10346477794793262,0.08460949464012252
103011060,4764,639,585,0.7955911823647295,0.10671342685370741,0.09769539078156313
103011061,3086,536,383,0.7705368289637953,0.13383270911360798,0.09563046192259675
103021062,5207,293,312,0.8959050240880936,0.05041293874741913,0.053682037164487266
103021063,7032,700,598,0.8441776710684273,0.08403361344537816,0.07178871548619448
103021064,4218,424,366,0.8422523961661342,0.08466453674121406,0.07308306709265176
103021065,8153,499,525,0.8884166939086847,0.05437506810504522,0.057208237986270026
103021066,2822,246,236,0.8541162227602905,0.07445520581113801,0.07142857142857142
103021067,8484,763,669,0.8555869302137958,0.07694634933440904,0.06746672045179508
103021068,2578,210,223,0.8561939554965128,0.0697442710063102,0.07406177349717702
103021069,4526,358,298,0.8734079505982246,0.06908529525279815,0.05750675414897723
103031070,8628,1483,1142,0.7667288723007198,0.13178707900115524,0.10148404869812494
103031071,5595,920,666,0.7791393956273499,0.1281158613006545,0.09274474307199554
103031072,8653,1073,885,0.8154745075864669,0.1011214777118085,0.08340401470172462
103031073,2360,382,285,0.7796498183019491,0.1261975553353155,0.09415262636273539
103031074,7246,939,805,0.8060066740823136,0.10444938820912125,0.08954393770856507
103031075,0,0,0,NaN,NaN,NaN
103041076,5615,532,549,0.8385603345280764,0.07945041816009558,0.08198924731182795
103041077,13702,2148,1465,0.7913369910482241,0.12405428818943112,0.08460872076234478
103041078,14461,2513,1600,0.7785614299558523,0.1352966512329062,0.08614191881124152
103041079,8912,931,888,0.830491100549809,0.0867579908675799,0.08275090858261112
104011080,14531,1192,1293,0.85396097790315,0.07005171603196991,0.07598730606488012
104011081,11200,1445,1254,0.8058133678681919,0.10396431397942298,0.09022231815238506
104011082,11658,1835,1473,0.7789656554857678,0.12261125217158894,0.09842309234264332
104021083,3556,1020,788,0.662938105891126,0.19015659955257272,0.14690529455630127
104021084,11170,3079,1782,0.6967749984405215,0.19206537333915538,0.11115962822032312
104021085,5992,2048,981,0.6642279126482652,0.227025828622104,0.10874625872963087
104021086,2568,508,394,0.7400576368876081,0.14639769452449566,0.11354466858789625
104021087,2240,377,315,0.7639836289222374,0.128581173260573,0.10743519781718963
104021088,5619,1542,1050,0.6843259042747534,0.18779685787358422,0.1278772378516624
104021089,13602,2600,2053,0.7451109285127362,0.14242673240208162,0.11246233908518215
104021090,3344,478,500,0.7737158722813512,0.1105969458583989,0.11568718186024989
104021091,7766,2496,1250,0.6746004169562196,0.21681723419041002,0.1085823488533704
105011092,2958,167,161,0.9001825928180158,0.050821667681071214,0.04899573950091297
105011093,3356,401,298,0.827620221948212,0.09889025893958077,0.07348951911220715
105011094,3160,143,140,0.9178042404879465,0.04153354632587859,0.04066221318617485
105011095,3916,272,216,0.8891916439600364,0.061762034514078114,0.04904632152588556
105011096,4577,690,323,0.818783542039356,0.12343470483005367,0.05778175313059034
105021097,13796,1089,1065,0.8649529780564263,0.06827586206896552,0.06677115987460815
105021098,1841,117,116,0.8876567020250723,0.05641272902603665,0.055930568948891035
105031099,6005,602,517,0.8429253228523301,0.08450308815272319,0.07257158899494666
105031100,8087,861,626,0.8446835178608731,0.08993106329642783,0.06538541884269898
105031101,12798,1833,1060,0.8156267924287808,0.11681855840927921,0.06755464916193997
105031102,6759,764,492,0.8432938240798503,0.09532127261384904,0.061384903306300684
105031103,4428,285,356,0.87354507792464,0.05622410731899783,0.0702308147563622
105031104,3518,213,219,0.8906329113924051,0.05392405063291139,0.05544303797468354
105031105,5217,289,335,0.8931689779147406,0.04947782913884609,0.057353192946413285
105031106,6162,514,493,0.8595341051750592,0.07169758683219417,0.06876830799274655
106011107,7529,1047,824,0.8009574468085107,0.11138297872340426,0.0876595744680851
106011108,16143,1584,1702,0.8308713778372536,0.08152761336146996,0.08760100880127644
106011109,5589,779,664,0.7947952218430034,0.1107792946530148,0.09442548350398179
106011110,7012,569,651,0.8517978620019436,0.06912050534499514,0.07908163265306123
106011111,13677,1216,1432,0.8377947932618683,0.07448698315467076,0.08771822358346094
106011112,11950,1684,1363,0.7968260318730412,0.11228912449156497,0.09088484363539374
106011113,3495,396,364,0.8213866039952996,0.09306698002350176,0.0855464159811986
106021114,4797,656,615,0.7905405405405406,0.10810810810810811,0.10135135135135136
106021115,20259,2997,2606,0.7833500889335705,0.11588430902482406,0.10076560204160545
106021116,5832,667,707,0.8093255620316403,0.09256175409381072,0.09811268387454898
106021117,16985,2186,1980,0.803035317479079,0.10335208737175547,0.09361259514916552
106021118,7671,1024,988,0.7922131570794175,0.10575234947846741,0.10203449344211504
106031119,3718,830,666,0.7130801687763713,0.15918680475642502,0.1277330264672037
106031120,4606,864,708,0.745548721269019,0.13985108449336356,0.11460019423761736
106031121,12960,3929,2296,0.6755277560594214,0.20479541308313787,0.11967683085744071
106031122,10043,1335,1264,0.7944154405948426,0.10560037968675842,0.09998417971839899
106031123,4204,438,470,0.8223787167449139,0.08568075117370892,0.09194053208137715
106031124,3354,853,507,0.7114976665252439,0.18095036062791683,0.1075519728468392
106031125,9500,1608,1443,0.7569117998565852,0.12811728149151463,0.11497091865190025
106041126,8932,1175,855,0.8148148148148148,0.10718846925743478,0.07799671592775041
106041127,3047,319,288,0.8338806787082649,0.0873015873015873,0.07881773399014778
106041128,4356,604,390,0.8142056074766355,0.11289719626168224,0.07289719626168224
106041129,6201,645,512,0.842756183745583,0.08765969013318836,0.06958412612122859
107011131,13378,5674,3293,0.5987021705079436,0.2539270530319982,0.14737077646005817
107011132,4860,2157,1293,0.5848375451263538,0.25956678700361013,0.1555956678700361
107011133,9,3,0,0.75,0.25,0
107011134,7817,4385,2160,0.5442835259713132,0.30531959337139675,0.15039688065729007
107011545,5458,5646,1784,0.4234947237740534,0.43808193668528866,0.13842333954065797
107011546,3715,4198,1075,0.41332888295505116,0.46706720071206054,0.11960391633288829
107011547,2408,1069,532,0.6006485407832377,0.26665003741581444,0.13270142180094788
107021135,3,0,0,1,0,0
107031136,8847,2780,2003,0.6490829053558327,0.20396184886280264,0.14695524578136462
107031137,4151,1383,908,0.6443651040049674,0.21468488047190312,0.14095001552312947
107031138,4589,1670,938,0.637626788939836,0.23204112824788106,0.1303320828122829
107031139,3840,962,806,0.6847360912981455,0.17154065620542083,0.14372325249643367
107031140,5027,1176,899,0.707828780625176,0.1655871585468882,0.1265840608279358
107031141,9131,4506,2333,0.571759549154665,0.2821540388227927,0.14608641202254227
107031142,5204,2869,1342,0.5527349973446628,0.3047265002655337,0.1425385023898035
107031143,10815,5283,2728,0.5744714756188251,0.280622543291193,0.14490598108998193
107041144,10370,7004,2696,0.5166915794718485,0.3489785749875436,0.13432984554060787
107041145,8477,3983,2120,0.5814128943758573,0.27318244170096023,0.14540466392318244
107041146,10191,7149,2900,0.5035079051383399,0.3532114624505929,0.1432806324110672
107041147,5576,1352,1334,0.6748971193415638,0.1636407649479545,0.16146211571048172
107041148,6516,2345,1856,0.6080059718204721,0.21881123448726322,0.17318279369226464
107041150,11959,3883,3008,0.6344297082228116,0.2059946949602122,0.15957559681697614
107041548,5534,5116,1586,0.4522719843085976,0.4181104936253678,0.12961752206603466
107041549,6747,7022,2022,0.42726869735925527,0.44468368057754415,0.12804762206320056
108011151,3500,488,355,0.8058945429426664,0.11236472484457748,0.08174073221275616
108011152,9915,1752,1409,0.7582594065463445,0.1339859284184766,0.10775466503517896
108011153,4123,833,636,0.7373032904148784,0.14896280400572245,0.11373390557939914
108011154,4334,747,563,0.7678951098511694,0.1323529411764706,0.09975194897236003
108021155,10744,1001,909,0.8490595859016912,0.07910542121068437,0.07183499288762446
108021156,6492,926,743,0.7954907486827595,0.11346648695012866,0.09104276436711187
108021157,3587,388,388,0.8221407288562915,0.08892963557185422,0.08892963557185422
108021158,4606,860,643,0.75396955311835,0.14077590440333934,0.10525454247831069
108021159,5460,828,755,0.7752378247905722,0.11756353826494391,0.10719863694448388
108021160,3795,515,457,0.7960981749528006,0.10803440318858822,0.09586742185861129
108031161,224,58,55,0.6646884272997032,0.17210682492581603,0.1632047477744807
108041162,11843,2029,1615,0.7647058823529411,0.13101310776780525,0.10428100987925357
108041163,18818,4234,3165,0.7177785406415684,0.16149826448487622,0.12072319487355533
108041164,11430,2771,1688,0.7193655988419662,0.17439738183649064,0.10623701932154321
108041165,3720,541,464,0.7873015873015873,0.1144973544973545,0.0982010582010582
108041166,8301,1e3,987,0.8068623639191291,0.09720062208398134,0.09593701399688959
108051167,3777,429,412,0.817886530965786,0.09289735816370723,0.08921611087050671
108051168,7472,1374,1014,0.7578093306288033,0.13935091277890466,0.1028397565922921
108051169,15283,1925,1515,0.8162687603482348,0.10281471986326977,0.08091651978849543
108051170,8809,1362,1127,0.7796955213312091,0.12055231014338821,0.09975216852540272
108051171,4143,455,400,0.8289315726290516,0.09103641456582633,0.08003201280512205
109011172,11025,1836,1360,0.7752619365726742,0.12910484494761268,0.0956332184797131
109011173,6913,1244,808,0.7711098717233686,0.13876185164528723,0.09012827663134411
109011174,6859,1491,972,0.7357863119502253,0.15994421797897446,0.10426947007080026
109011175,9022,881,860,0.8382421258013565,0.08185450153302982,0.07990337266561368
109011176,9879,2297,1070,0.7458100558659218,0.17341084100860638,0.08077910312547185
109021177,2186,243,171,0.8407692307692308,0.09346153846153846,0.06576923076923077
109021178,4422,513,347,0.8371828852707308,0.09712230215827339,0.06569481257099584
109021179,2611,319,217,0.8296790594216714,0.1013663806800127,0.06895455989831585
109031180,4138,492,392,0.8239745121465551,0.0979689366786141,0.07805655117483075
109031181,5067,583,428,0.8336623889437315,0.09591971043106284,0.07041790062520566
109031182,5587,624,453,0.8383853541416567,0.0936374549819928,0.06797719087635054
109031183,5204,448,407,0.8588876052153821,0.07393959399240799,0.06717280079220994
109031184,4470,575,365,0.8262476894639557,0.10628465804066543,0.06746765249537892
109031185,7036,904,710,0.8134104046242775,0.10450867052023122,0.08208092485549133
110011186,15588,3779,2097,0.7262392843831532,0.17606224375698845,0.09769847185985837
110011187,3556,315,266,0.8595600676818951,0.07614213197969544,0.06429780033840947
110011188,4568,504,491,0.8211396728383965,0.09059859787884235,0.0882617292827611
110011189,2467,185,184,0.8698871650211566,0.0652327221438646,0.06488011283497884
110021190,6506,669,553,0.8418737060041408,0.08656832298136646,0.07155797101449275
110021191,9179,838,698,0.8566495566962202,0.07820811945870275,0.065142323845077
110021192,3858,455,310,0.8345230369889682,0.09842093878433918,0.06705602422669263
110021193,4794,266,299,0.8945698824407539,0.049636126142937116,0.055793991416309016
110021194,4761,596,461,0.8183224475764868,0.10244070127191475,0.07923685115159848
110031195,6148,586,378,0.8644544431946006,0.08239595050618673,0.0531496062992126
110031196,4228,267,232,0.8944362174740851,0.056484027924687964,0.049079754601226995
110031197,5697,376,343,0.8879364089775561,0.05860349127182045,0.05346009975062344
110031198,3710,224,217,0.893760539629005,0.05396290050590219,0.05227655986509275
110041199,7277,670,506,0.8608777948657281,0.0792618005441855,0.05986040459008636
110041200,3333,167,218,0.8964497041420119,0.044916621839698766,0.0586336740182894
110041201,6016,429,454,0.8720104362951152,0.06218292506160313,0.06580663864328164
110041202,15962,1640,1203,0.8488168040414783,0.08721084817867589,0.06397234777984578
110041203,11199,1533,1054,0.8123458581169302,0.11119976788045843,0.07645437400261135
110041204,4234,417,281,0.8584752635847527,0.08454987834549878,0.05697485806974858
110041205,14555,1180,1157,0.8616504854368932,0.06985555292446129,0.06849396163864552
111011206,13047,1828,1865,0.7793906810035842,0.10919952210274791,0.11140979689366787
111011207,4330,480,484,0.8179070646014356,0.09066868152625614,0.09142425387230828
111011208,17080,3138,2611,0.7481711857724823,0.13745674361557667,0.11437207061194095
111011209,16670,2972,2620,0.7488096307609379,0.1335010331506603,0.11768933608840176
111011210,6408,885,884,0.7836614895438425,0.10823040234804941,0.10810810810810811
111011211,2466,448,398,0.7445652173913043,0.13526570048309178,0.12016908212560387
111011212,8247,1399,1278,0.7549432442328817,0.12806664225558403,0.11699011351153424
111011213,8466,1747,1367,0.7310880829015544,0.15086355785837652,0.11804835924006908
111011214,9259,1927,1556,0.7266520169518129,0.15123214566002197,0.12211583738816513
111021215,6038,949,847,0.7707429154965535,0.12113862649987235,0.10811845800357417
111021216,5906,1299,1089,0.71208102242585,0.15661924282613937,0.1312997347480106
111021217,10335,1820,1360,0.7647058823529411,0.13466518682944875,0.10062893081761007
