SA2_CODE,1900-1945,1946-1955,1956-1965,1966-1975,1976-1985,1986-1995,1996-2005,2006-2015,2016-2016,0-20 year,20-50 years,50+ years
101021007,0,29,64,107,80,51,41,61,4,106,238,93
101021008,0,68,177,289,144,174,162,268,15,445,607,245
101021009,3,173,260,299,152,197,269,1156,79,1504,648,436
101021010,0,50,81,123,78,107,115,561,40,716,308,131
101021011,0,126,299,490,287,256,266,397,22,685,1033,425
101021012,0,59,185,357,229,294,347,450,8,805,880,244
101031013,3,15,33,56,19,18,16,24,0,40,93,51
101031014,4,135,162,179,85,92,84,112,3,199,356,301
101031015,0,39,91,126,52,39,24,32,0,56,217,130
101031016,3,66,110,162,90,97,101,196,24,321,349,179
101041017,5,137,232,274,128,98,63,101,3,167,500,374
101041018,12,171,269,312,127,81,95,133,12,240,520,452
101041019,3,76,115,141,86,84,78,124,3,205,311,194
101041020,0,83,204,247,191,102,76,53,5,134,540,287
101041021,10,71,82,104,29,31,39,33,0,72,164,163
101041022,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,54,71,85,34,32,15,37,3,55,151,125
101041024,3,44,77,96,34,35,19,23,0,42,165,124
101041025,18,176,293,310,168,100,117,175,13,305,578,487
101041026,9,129,221,296,112,73,59,85,0,144,481,359
101041027,11,174,271,274,154,102,90,68,5,163,530,456
101051539,3,128,211,329,171,172,192,653,59,904,672,342
101051540,9,96,206,306,131,101,80,157,7,244,538,311
101061541,3,47,66,104,51,50,77,112,3,192,205,116
101061542,6,107,150,303,178,145,190,156,14,360,626,263
101061543,4,56,85,76,73,53,82,154,4,240,202,145
101061544,3,54,87,99,47,45,42,78,12,132,191,144
102011028,3,59,115,173,147,128,233,386,14,633,448,177
102011029,14,141,180,317,219,176,248,289,8,545,712,335
102011030,0,48,116,128,98,90,92,89,15,196,316,164
102011031,16,214,304,494,289,344,422,530,23,975,1127,534
102011032,18,155,293,515,370,457,681,1279,77,2037,1342,466
102011033,0,44,79,143,143,214,232,206,3,441,500,123
102011034,18,97,145,208,114,109,178,207,6,391,431,260
102011035,3,43,104,194,150,173,226,198,10,434,517,150
102011036,0,58,119,212,157,189,221,220,5,446,558,177
102011037,3,56,109,200,146,182,243,202,8,453,528,168
102011038,4,59,144,150,117,123,120,132,10,262,390,207
102011039,13,127,242,401,311,289,425,659,28,1112,1001,382
102011040,26,249,427,626,502,410,472,698,32,1202,1538,702
102011041,14,70,152,227,151,151,227,269,11,507,529,236
102011042,16,133,236,410,251,303,331,521,20,872,964,385
102011043,13,120,188,350,248,266,308,441,14,763,864,321
102021044,16,174,309,518,276,279,286,372,11,669,1073,499
102021045,4,79,136,248,152,169,148,127,8,283,569,219
102021046,9,96,194,244,115,112,92,84,0,176,471,299
102021047,10,121,273,385,241,243,234,243,10,487,869,404
102021048,14,225,391,562,311,324,230,377,11,618,1197,630
102021049,3,16,40,70,67,62,45,45,3,93,199,59
102021050,5,140,242,331,156,110,93,80,4,177,597,387
102021051,0,43,71,111,120,137,93,117,9,219,368,114
102021052,6,70,118,182,82,60,44,42,3,89,324,194
102021053,7,189,260,360,229,189,205,340,17,562,778,456
102021054,11,113,174,241,129,111,100,106,0,206,481,298
102021055,3,47,73,147,102,156,191,213,21,425,405,123
102021056,8,122,218,380,240,281,378,555,15,948,901,348
102021057,3,70,135,221,165,193,182,308,25,515,579,208
103011058,8,138,167,306,194,209,321,683,54,1058,709,313
103011059,7,62,97,120,100,76,111,194,19,324,296,166
103011060,5,46,85,123,68,64,42,34,0,76,255,136
103011061,3,41,79,94,46,37,43,62,3,108,177,123
103021062,0,18,22,25,14,16,37,99,5,141,55,40
103021063,10,87,78,103,34,48,73,71,3,147,185,175
103021064,0,35,45,90,39,22,31,41,3,75,151,80
103021065,0,32,52,70,39,47,53,100,5,158,156,84
103021066,0,33,44,42,15,7,13,37,0,50,64,77
103021067,4,70,55,72,35,45,75,233,10,318,152,129
103021068,3,11,25,29,14,9,21,34,0,55,52,39
103021069,0,13,35,39,14,34,29,112,4,145,87,48
103031070,7,100,145,249,162,106,125,194,9,328,517,252
103031071,0,54,114,205,97,80,51,61,6,118,382,168
103031072,7,74,84,147,76,67,100,213,5,318,290,165
103031073,5,36,58,73,44,28,18,17,0,35,145,99
103031074,3,74,141,192,72,70,68,89,0,157,334,218
103031075,0,0,0,0,0,0,0,0,0,0,0,0
103041076,0,53,62,103,62,42,43,63,3,109,207,115
103041077,16,166,188,224,155,140,205,544,31,780,519,370
103041078,9,103,122,222,127,174,279,789,39,1107,523,234
103041079,10,58,94,140,84,86,86,128,3,217,310,162
104011080,8,90,137,179,103,111,88,248,10,346,393,235
104011081,3,115,209,301,143,118,96,99,7,202,562,327
104011082,17,187,258,316,198,143,133,247,11,391,657,462
104021083,10,44,103,150,132,116,119,122,0,241,398,157
104021084,9,165,249,319,231,216,295,887,86,1268,766,423
104021085,10,93,145,200,126,127,178,723,63,964,453,248
104021086,0,23,48,91,54,48,68,70,0,138,193,71
104021087,3,30,46,79,50,33,18,40,4,62,162,79
104021088,6,82,140,218,162,133,174,310,12,496,513,228
104021089,10,170,314,407,248,216,239,404,32,675,871,494
104021090,5,29,70,112,61,51,41,42,3,86,224,104
104021091,9,140,208,308,165,157,155,667,58,880,630,357
105011092,0,8,10,16,8,15,12,58,0,70,39,18
105011093,0,11,22,12,21,29,41,165,3,209,62,33
105011094,0,12,11,16,11,16,5,37,0,42,43,23
105011095,3,12,9,29,19,26,22,89,8,119,74,24
105011096,0,38,78,136,63,51,36,130,3,169,250,116
105021097,4,85,85,105,57,74,76,248,7,331,236,174
105021098,0,9,10,20,10,17,7,21,4,32,47,19
105031099,4,61,78,97,57,43,51,65,9,125,197,143
105031100,0,34,60,65,49,42,95,297,38,430,156,94
105031101,6,69,65,106,96,108,156,862,53,1071,310,140
105031102,0,30,52,69,40,63,66,291,22,379,172,82
105031103,0,24,42,50,24,22,15,28,0,43,96,66
105031104,0,16,25,13,10,9,26,29,7,62,32,41
105031105,3,33,30,61,22,23,21,35,0,56,106,66
105031106,8,44,66,78,44,49,32,59,3,94,171,118
106011107,4,101,81,123,94,84,101,174,3,278,301,186
106011108,11,134,137,220,136,130,159,238,9,406,486,282
106011109,7,41,88,161,96,76,51,65,0,116,333,136
106011110,0,43,72,95,58,42,47,60,0,107,195,115
106011111,0,92,136,153,129,85,77,177,4,258,367,228
106011112,0,56,74,144,143,174,223,493,12,728,461,130
106011113,0,27,37,67,40,37,40,42,4,86,144,64
106021114,3,35,40,56,69,49,78,180,0,258,174,78
106021115,15,199,211,289,263,282,309,688,30,1027,834,425
106021116,3,48,47,80,87,59,88,113,3,204,226,98
106021117,7,140,136,185,167,174,247,577,19,843,526,283
106021118,0,68,74,120,99,83,129,180,9,318,302,142
106031119,0,74,99,160,87,51,75,109,5,189,298,173
106031120,3,73,129,158,102,84,72,66,3,141,344,205
106031121,22,330,475,643,387,269,351,641,25,1017,1299,827
106031122,7,127,129,182,151,126,106,184,6,296,459,263
106031123,3,25,46,64,50,30,50,42,0,92,144,74
106031124,5,94,125,172,102,62,43,84,11,138,336,224
106031125,0,98,136,252,145,111,156,276,8,440,508,234
106041126,0,39,51,123,67,84,113,389,22,524,274,90
106041127,0,13,24,47,24,36,36,65,10,111,107,37
106041128,0,14,22,57,35,28,49,274,13,336,120,36
106041129,0,44,53,86,57,64,54,150,3,207,207,97
107011131,19,403,717,1395,401,276,277,356,11,644,2072,1139
107011132,0,90,165,365,146,165,160,244,3,407,676,255
107011133,0,0,0,0,0,0,0,0,0,0,0,0
107011134,6,227,441,721,354,276,288,380,18,686,1351,674
107011545,0,195,561,1112,438,393,320,487,51,858,1943,756
107011546,6,138,570,992,275,214,166,375,15,556,1481,714
107011547,0,85,225,193,54,42,45,63,32,140,289,310
107021135,0,0,0,0,0,0,0,0,0,0,0,0
107031136,0,125,326,536,205,189,172,181,3,356,930,451
107031137,3,87,202,301,95,69,65,83,5,153,465,292
107031138,6,120,210,280,131,104,156,256,5,417,515,336
107031139,0,59,118,167,67,59,110,108,3,221,293,177
107031140,0,96,169,186,118,65,89,133,9,231,369,265
107031141,3,127,412,780,328,255,270,513,18,801,1363,542
107031142,3,146,423,619,216,157,124,164,17,305,992,572
107031143,6,306,981,1256,306,274,186,350,13,549,1836,1293
107041144,20,431,702,847,465,373,489,1313,182,1984,1685,1153
107041145,13,263,458,632,312,305,257,470,28,755,1249,734
107041146,10,307,581,828,372,423,614,1564,241,2419,1623,898
107041147,3,49,81,155,129,142,206,250,4,460,426,133
107041148,3,125,194,285,239,196,279,351,10,640,720,322
107041150,20,283,368,506,307,316,404,483,44,931,1129,671
107041548,6,194,384,489,229,269,371,1708,270,2349,987,584
107041549,9,161,420,750,309,331,649,2411,315,3375,1390,590
108011151,0,51,77,100,45,49,28,39,0,67,194,128
108011152,12,232,238,327,167,105,136,163,7,306,599,482
108011153,6,78,136,176,79,63,75,59,0,134,318,220
108011154,9,89,118,131,56,38,49,62,3,114,225,216
108021155,12,69,128,167,77,89,66,136,28,230,333,209
108021156,3,75,124,193,96,73,78,88,3,169,362,202
108021157,0,45,53,68,32,29,33,47,0,80,129,98
108021158,11,89,157,172,86,76,57,86,4,147,334,257
108021159,0,60,126,192,99,61,50,68,0,118,352,186
108021160,10,51,79,90,61,35,21,58,4,83,186,140
108031161,0,3,7,3,10,3,12,10,0,22,16,10
108041162,17,217,320,391,210,93,175,152,9,336,694,554
108041163,15,280,468,696,443,352,498,720,31,1249,1491,763
108041164,15,245,345,443,244,187,275,469,15,759,874,605
108041165,3,37,65,87,77,55,50,63,0,113,219,105
108041166,3,82,123,203,98,83,77,105,10,192,384,208
108051167,3,40,45,97,50,33,29,43,3,75,180,88
108051168,6,147,177,276,163,99,92,132,0,224,538,330
108051169,8,160,230,297,160,142,187,294,17,498,599,398
108051170,3,129,231,272,155,76,93,69,5,167,503,363
108051171,5,49,55,76,49,34,36,53,0,89,159,109
109011172,8,82,162,187,158,134,190,440,36,666,479,252
109011173,6,82,80,138,89,62,126,346,18,490,289,168
109011174,3,100,133,168,105,95,127,410,26,563,368,236
109011175,0,69,97,124,92,63,70,127,12,209,279,166
109011176,3,144,196,215,135,116,126,828,29,983,466,343
109021177,0,29,27,12,16,17,8,67,10,85,45,56
109021178,3,34,52,57,42,36,35,59,3,97,135,89
109021179,0,24,29,16,13,24,24,74,0,98,53,53
109031180,3,60,69,55,39,30,34,79,3,116,124,132
109031181,3,54,97,93,39,32,40,72,9,121,164,154
109031182,3,34,67,62,22,31,54,172,12,238,115,104
109031183,3,42,59,57,27,19,28,78,10,116,103,104
109031184,4,64,75,81,41,29,37,130,3,170,151,143
109031185,3,85,125,136,53,39,77,165,15,257,228,213
110011186,14,101,191,285,230,229,428,1457,211,2096,744,306
110011187,0,8,30,46,38,24,31,78,6,115,108,38
110011188,0,42,60,78,59,43,52,60,0,112,180,102
110011189,0,20,30,26,14,19,17,19,3,39,59,50
110021190,7,42,90,127,45,59,60,88,3,151,231,139
110021191,3,55,75,85,53,52,54,289,4,347,190,133
110021192,6,22,53,53,31,13,96,69,0,165,97,81
110021193,6,17,29,39,30,19,20,49,3,72,88,52
110021194,0,50,79,111,84,52,36,64,0,100,247,129
110031195,0,21,19,56,44,46,48,222,3,273,146,40
110031196,0,12,8,38,23,25,26,91,3,120,86,20
110031197,0,26,18,50,30,26,42,108,3,153,106,44
110031198,0,14,45,21,21,19,28,36,0,64,61,59
110041199,3,32,33,48,45,34,64,173,10,247,127,68
110041200,0,8,15,26,13,14,19,29,0,48,53,23
110041201,3,23,54,59,38,43,30,60,3,93,140,80
110041202,3,74,101,134,98,87,125,614,76,815,319,178
110041203,11,67,95,128,72,95,122,588,43,753,295,173
110041204,0,10,24,33,21,34,29,156,18,203,88,34
110041205,7,88,135,202,112,103,122,143,14,279,417,230
111011206,6,148,162,241,164,156,211,250,5,466,561,316
111011207,4,32,47,70,55,38,43,53,6,102,163,83
111011208,11,211,280,335,235,274,333,635,45,1013,844,502
111011209,11,278,250,331,242,236,317,494,19,830,809,539
111011210,7,86,100,98,86,48,80,146,3,229,232,193
111011211,0,33,53,56,42,39,46,67,4,117,137,86
111011212,8,134,176,244,107,118,101,191,6,298,469,318
111011213,5,126,119,223,159,148,238,313,22,573,530,250
111011214,7,181,192,217,194,156,198,306,8,512,567,380
111021215,3,82,91,124,108,86,100,89,5,194,318,176
111021216,10,115,156,227,109,123,111,160,10,281,459,281
111021217,3,107,92,114,116,152,215,492,15,722,382,202
111021218,28,204,237,382,252,245,236,331,18,585,879,469
111021219,9,147,180,271,159,153,143,242,8,393,583,336
111021220,6,114,133,215,127,96,104,117,3,224,438,253
111021221,3,56,63,49,35,32,30,36,0,66,116,122
111031222,7,129,191,317,186,170,263,514,17,794,673,327
111031223,0,76,75,134,61,64,66,160,12,238,259,151
111031224,7,160,279,210,166,149,169,410,28,607,525,446
111031225,10,118,168,270,218,190,256,595,30,881,678,296
111031226,0,57,79,234,171,196,279,729,15,1023,601,136
111031227,8,128,212,291,210,232,271,661,62,994,733,348
111031228,6,92,147,169,176,170,255,352,23,630,515,245
111031229,0,71,102,162,157,208,256,628,58,942,527,173
111031230,0,0,0,0,0,0,0,0,0,0,0,0
111031231,7,62,69,105,67,119,241,1947,449,2637,291,138
111031232,4,70,94,126,70,51,78,121,7,206,247,168
111031233,12,183,224,350,259,267,303,851,89,1243,876,419
111031234,6,96,107,180,136,152,182,647,65,894,468,209
111031235,4,34,79,110,115,107,138,262,38,438,332,117
112011236,23,185,240,310,206,175,218,385,14,617,691,448
112011237,20,139,252,333,208,164,230,354,28,612,705,411
112011238,0,39,98,145,142,143,159,164,5,328,430,137
112011239,7,70,129,222,169,186,234,272,15,521,577,206
112011240,3,59,112,194,202,200,266,591,67,924,596,174
112011241,4,28,72,70,39,20,30,55,10,95,129,104
112011242,3,39,99,159,131,109,171,239,3,413,399,141
112011243,8,58,146,214,189,209,301,291,9,601,612,212
112021244,3,54,87,112,75,51,68,117,3,188,238,144
112021245,0,36,71,111,82,57,43,72,3,118,250,107
112021246,16,85,117,150,127,131,160,285,19,464,408,218
112021247,3,46,85,152,108,86,80,91,3,174,346,134
112021248,10,89,143,228,177,162,177,275,33,485,567,242
112021249,6,119,207,317,254,224,233,220,0,453,795,332
112031250,5,121,164,332,217,193,253,354,19,626,742,290
112031251,6,79,104,184,144,122,116,170,0,286,450,189
112031252,4,75,160,202,178,136,162,145,6,313,516,239
112031253,3,95,190,278,238,143,294,348,22,664,659,288
112031254,19,250,509,569,391,337,453,725,37,1215,1297,778
112031550,28,228,312,416,243,280,339,394,12,745,939,568
112031551,0,31,47,65,46,47,51,112,3,166,158,78
112031552,15,172,231,326,160,131,169,291,16,476,617,418
113011256,40,373,309,210,132,304,688,1669,137,2494,646,722
113011257,16,124,112,106,58,72,144,376,27,547,236,252
113011258,8,89,115,88,32,65,91,295,16,402,185,212
113011259,0,25,28,35,24,21,30,80,9,119,80,53
113021260,0,21,51,52,26,17,24,59,0,83,95,72
113021261,3,37,47,66,42,49,49,170,3,222,157,87
113021262,3,35,60,79,36,30,37,103,8,148,145,98
113031263,8,61,69,107,40,38,34,97,3,134,185,138
113031264,0,19,16,22,3,18,18,42,0,60,43,35
113031265,3,22,27,49,29,23,36,95,38,169,101,52
113031266,0,33,37,60,25,34,23,79,0,102,119,70
113031267,3,95,122,154,101,106,220,626,33,879,361,220
113031268,3,10,13,26,25,32,92,283,13,388,83,26
113031269,10,95,119,138,91,115,307,991,58,1356,344,224
113031270,5,73,77,101,74,88,143,684,32,859,263,155
113031271,0,51,82,107,75,67,130,174,5,309,249,133
114011272,9,146,252,297,194,124,123,122,0,245,615,407
114011273,0,66,120,169,56,44,29,48,4,81,269,186
114011274,6,90,118,121,54,31,31,58,6,95,206,214
114011275,0,0,0,0,0,0,0,3,0,3,0,0
114011276,6,71,145,164,104,76,57,117,3,177,344,222
114011277,12,212,316,398,204,175,257,335,21,613,777,540
114011278,11,198,296,425,209,205,184,441,21,646,839,505
114011279,7,242,400,561,189,146,117,117,3,237,896,649
114011280,9,83,123,165,47,25,28,25,0,53,237,215
114011281,0,46,75,133,47,33,30,37,3,70,213,121
114011282,18,231,371,474,248,132,138,225,15,378,854,620
114011283,3,72,122,158,64,38,53,43,0,96,260,197
114021284,24,254,366,571,327,212,253,365,19,637,1110,644
114021285,4,51,119,225,101,73,44,70,3,117,399,174
114021286,5,111,215,293,209,132,140,260,13,413,634,331
114021287,4,117,218,291,147,138,131,332,73,536,576,339
114021288,3,47,71,107,62,43,46,41,0,87,212,121
114021289,3,109,163,246,150,115,103,98,6,207,511,275
115011290,3,220,350,569,654,1515,2106,2737,178,5021,2738,573
115011291,3,148,296,679,820,1862,1865,1922,214,4001,3361,447
115011294,12,98,137,258,222,215,232,206,11,449,695,247
115011296,3,100,218,385,686,1470,1227,884,54,2165,2541,321
115011553,7,64,99,233,228,535,701,1042,52,1795,996,170
115011554,22,67,110,146,188,488,532,472,27,1031,822,199
115011555,7,129,228,405,457,882,951,1133,81,2165,1744,364
115011556,4,76,134,304,370,699,801,1144,50,1995,1373,214
115011557,0,29,52,122,211,576,610,483,13,1106,909,81
115011558,28,106,240,545,818,2040,2496,2382,113,4991,3403,374
115011559,8,154,274,573,768,1736,2338,2365,104,4807,3077,436
115021297,24,299,526,728,538,780,820,825,26,1671,2046,849
115021298,3,74,145,162,116,126,150,142,7,299,404,222
115031299,0,25,55,100,42,36,28,35,0,63,178,80
115031300,10,221,368,632,318,299,263,259,4,526,1249,599
115041301,3,111,202,271,155,198,176,150,11,337,624,316
115041302,6,114,245,524,644,1462,1881,2134,98,4113,2630,365
116011303,0,135,233,420,356,862,1603,4356,292,6251,1638,368
116011304,5,210,289,643,547,1096,1586,2787,147,4520,2286,504
116011306,0,110,234,581,868,2748,2751,3288,163,6202,4197,344
116011307,10,221,352,834,683,1360,1535,2e3,104,3639,2877,583
116011308,3,242,397,885,726,1608,2379,3776,240,6395,3219,642
116011560,3,101,220,397,357,981,1189,1879,107,3175,1735,324
116011561,8,225,315,447,431,1132,1653,2808,177,4638,2010,548
116021309,0,41,122,374,582,1752,2326,2011,180,4517,2708,163
116021310,3,92,210,534,822,2391,4551,4335,220,9106,3747,305
116021312,3,191,283,339,308,652,1158,1885,91,3134,1299,477
116021562,0,14,27,95,98,339,474,483,17,974,532,41
116021563,4,88,210,503,693,1693,2198,2854,169,5221,2889,302
116031313,0,86,213,649,479,1078,1185,1424,69,2678,2206,299
116031314,0,42,76,206,307,839,781,1043,51,1875,1352,118
116031315,0,56,115,395,716,2721,2442,2101,92,4635,3832,171
116031316,3,108,258,475,388,894,1256,2195,69,3520,1757,369
116031317,3,113,230,576,508,1721,2541,4274,270,7085,2805,346
116031318,0,0,0,0,0,3,0,8,0,8,3,0
116031319,0,172,309,648,725,2224,2317,2776,144,5237,3597,481
117011320,0,0,0,0,0,0,0,0,0,0,0,0
117011321,0,54,153,402,399,524,670,854,71,1595,1325,207
117011322,8,151,592,1110,1038,1849,2194,4771,503,7468,3997,751
117011323,6,146,241,531,514,787,880,1427,87,2394,1832,393
117011324,0,0,0,0,0,0,0,0,0,0,0,0
117011325,0,0,0,0,0,0,0,3,0,3,0,0
117021326,11,157,802,1322,1283,1543,1328,2625,239,4192,4148,970
117021327,7,107,383,753,682,900,934,1525,138,2597,2335,497
117021328,0,42,133,406,347,422,396,728,55,1179,1175,175
117031329,9,65,104,228,295,492,706,2068,274,3048,1015,178
117031330,3,38,102,286,498,812,1029,2218,171,3418,1596,143
117031331,9,102,221,456,646,906,1091,3253,487,4831,2008,332
117031332,0,78,226,500,572,935,1330,3788,927,6045,2007,304
117031333,20,137,249,500,598,867,1038,3220,422,4680,1965,406
117031334,4,59,128,343,611,1063,1688,6688,1553,9929,2017,191
117031335,8,82,206,450,629,1170,1393,5935,952,8280,2249,296
117031336,9,70,190,367,566,851,1087,3514,418,5019,1784,269
117031337,4,80,132,310,496,1103,2174,11391,1635,15200,1909,216
117031338,11,107,394,643,851,1911,2597,9488,1193,13278,3405,512
118011339,18,144,381,486,604,755,981,2930,366,4277,1845,543
118011340,18,160,289,459,680,890,1228,3412,396,5036,2029,467
118011341,30,225,369,478,582,804,1004,2697,263,3964,1864,624
118011342,0,0,0,0,0,0,0,0,0,0,0,0
118011343,111,545,526,637,906,1090,1357,2628,229,4214,2633,1182
118011344,16,192,279,283,510,882,1177,1124,64,2365,1675,487
118011345,12,143,226,424,501,594,756,1712,163,2631,1519,381
118011346,31,236,263,374,439,627,785,1080,76,1941,1440,530
118011347,22,126,136,242,281,308,380,718,71,1169,831,284
118021348,22,174,363,711,732,1062,1363,3464,297,5124,2505,559
118021350,11,240,517,937,933,1286,1159,1590,137,2886,3156,768
118021564,11,115,183,291,360,608,941,3807,928,5676,1259,309
118021565,10,166,352,437,451,724,977,4572,1084,6633,1612,528
118021566,25,172,290,365,353,534,628,1190,90,1908,1252,487
118021567,8,119,230,429,436,631,672,1313,118,2103,1496,357
118021568,14,110,273,328,398,652,915,2064,221,3200,1378,397
118021569,42,190,299,474,516,856,1112,2567,279,3958,1846,531
118021570,5,92,228,295,391,616,819,2526,337,3682,1302,325
119011354,10,259,507,1034,1176,1582,1273,1312,73,2658,3792,776
119011355,0,0,4,11,40,82,126,166,12,304,133,4
119011356,0,126,253,585,733,922,819,896,27,1742,2240,379
119011357,19,202,513,1546,1539,2184,1971,1820,105,3896,5269,734
119011358,19,151,260,602,736,1206,1057,1286,71,2414,2544,430
119011359,12,218,378,781,751,1197,1133,1281,76,2490,2729,608
119011360,7,147,241,586,751,1273,1101,1490,80,2671,2610,395
119011361,13,176,283,990,1560,1895,1592,2055,114,3761,4445,472
119011571,4,88,193,547,855,1486,1925,3294,263,5482,2888,285
119011572,4,86,233,703,1200,1574,1562,2710,162,4434,3477,323
119021362,5,196,723,1150,969,1580,1509,2192,144,3845,3699,924
119021363,8,164,609,1198,1336,2824,3503,7840,666,12009,5358,781
119021364,11,400,1424,1709,1048,1290,978,1051,76,2105,4047,1835
119021366,3,107,373,1016,1206,1969,1811,2855,186,4852,4191,483
119021367,12,113,381,815,644,980,961,1154,78,2193,2439,506
119021573,4,72,266,540,632,1183,1922,5213,363,7498,2355,342
119021574,5,22,100,357,431,779,1194,2718,211,4123,1567,127
119031368,9,104,364,712,706,2373,3161,6743,620,10524,3791,477
119031369,13,146,351,829,688,1670,2149,3412,266,5827,3187,510
119031370,9,116,308,572,661,1417,1497,1762,137,3396,2650,433
119031371,7,114,296,541,366,705,706,966,55,1727,1612,417
119031372,14,224,382,699,494,955,883,769,46,1698,2148,620
119031373,5,74,177,373,559,1215,1390,1964,148,3502,2147,256
119031374,26,227,538,835,778,1815,2176,4243,387,6806,3428,791
119041375,7,118,358,894,735,1300,1681,5167,637,7485,2929,483
119041376,14,185,752,1413,1074,2135,2082,3931,378,6391,4622,951
119041377,7,199,595,667,659,979,712,869,76,1657,2305,801
119041378,7,68,230,390,310,774,1205,3124,346,4675,1474,305
119041379,9,103,414,810,552,1330,1433,2648,239,4320,2692,526
