SA2 Code (2016),Median commuting distance to work from place of usual residence,Average commuting distance from usual place of residence,Median Commuting Distance to Place of Work (Kms),Average Commuting Distance to Place of Work kms,Method of travel to work - walking,Method of travel to work - bus,Method of travel to work - motor bike/scooter,Method of travel to work - car (as passenger or driver),Method of travel to work - bike,Method of travel to work - train,Method of travel to work - other (inc taxis)
101021008,10.8,11.6,3.5,13.8,62,37,45,3413,19,3,22
101041022,19.5,22.7,null,null,null,null,null,null,null,null,null
101041023,2.2,10.4,3.1,13.1,73,4,null,817,3,null,14
101041024,15.4,22.7,10.5,16.4,59,5,7,945,5,null,12
101041026,7.4,18.2,13.1,16.5,104,20,11,2089,20,null,22
103031073,11.2,32.5,7.7,21.9,57,7,7,705,null,null,10
103031075,null,null,null,null,null,null,null,null,null,null,null
101021010,11.5,12.3,15.2,18.1,101,41,22,2036,20,null,29
101021011,28,28.2,18.7,22.5,153,37,56,6747,24,3,53
102011032,7.9,25.1,12.7,17.6,309,157,45,5448,32,666,38
103041077,3.1,8.8,4.5,12.2,383,44,44,5796,57,6,62
103041078,4.7,11.2,4.4,11.8,169,26,20,7531,32,8,60
103041079,15.3,21.5,13.4,20.2,212,12,20,3922,5,3,50
104011081,18.1,24.4,9.7,20.6,156,25,35,4016,8,null,53
104021083,12.7,18,6.5,12.4,131,3,7,1470,20,null,18
101041017,4.9,15.2,8.1,15.1,97,6,14,1900,14,null,20
101041020,19.9,25.4,7,16.8,129,22,23,2459,9,null,44
101041021,14.8,18.2,4.9,12.7,41,3,7,907,22,null,10
104021086,17.2,19.8,5.2,12.3,34,3,8,1259,3,3,10
101031013,5,19.9,5.4,20.7,61,3,4,717,null,null,16
105011095,3.2,28.2,4.4,32.6,159,55,15,1335,16,null,22
109031183,19.6,32.2,16.1,33.4,229,19,24,1781,12,null,46
109031185,5.6,16.1,4.3,15.7,258,15,17,2528,30,3,43
110011186,3.2,7.6,3.8,10.7,535,47,67,7034,109,11,91
102011039,12,25.3,5.2,10.2,116,58,15,4660,17,180,45
101021012,14.3,13.8,9.2,14.3,69,40,77,5881,42,3,47
101061543,2.8,10.5,3.4,11.4,180,6,11,3143,7,3,35
101051539,3.6,17.6,3.8,15.4,332,53,43,7577,26,15,74
101061544,16.8,27.3,8.6,22.1,225,13,18,1881,5,3,50
102011041,12.7,24.5,4.4,9.4,37,41,15,3343,13,72,20
102011042,17,35.6,5.7,12.6,133,56,13,2914,26,661,23
104021088,10.9,15,3.8,8.4,69,11,17,3096,7,5,12
104021089,8,10.6,5,10.6,182,37,63,6181,74,3,50
104021090,17.9,17.8,10.6,14.6,53,3,10,1282,7,null,22
105011094,2.1,24,2.2,26.1,113,7,13,966,4,null,29
101061541,5.3,28.9,2.8,14.8,115,37,6,2132,4,null,19
101061542,35.5,34.7,12.3,32.3,189,40,52,4119,9,6,47
