SA2_CODE,DWELLING_FLAT,DWELLING_HOUSE,DWELLING_OTHER,DWELLING_SEMI,PERC_DWELLING_HOUSE,PERC_DWELLING_FLAT,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER
101021007,14,2155,87,34,0.9410480349344978,0.00611353711790393,0.014847161572052401,0.037991266375545854
101021008,112,2673,6,590,0.7905944986690329,0.033126293995859216,0.17450458444247263,0.001774622892635315
101021009,2052,2264,73,1262,0.4006370553884268,0.36312157140329143,0.22332330560962663,0.012918067598655105
101021010,874,894,14,670,0.3646003262642741,0.3564437194127243,0.2732463295269168,0.005709624796084829
101021011,30,6059,153,32,0.9657315906917437,0.004781638508128785,0.005100414408670704,0.024386356391456806
101021012,99,3733,13,770,0.808884073672806,0.02145178764897075,0.1668472372697725,0.0028169014084507044
101031013,24,1235,44,21,0.9327794561933535,0.01812688821752266,0.015861027190332326,0.03323262839879154
101031014,278,2775,99,146,0.8414190418435415,0.08429351121892056,0.044269254093389936,0.03001819284414797
101031015,13,1837,119,6,0.930126582278481,0.006582278481012658,0.0030379746835443038,0.06025316455696202
101031016,1054,2559,923,575,0.5006847974955977,0.20622187438857367,0.11250244570534142,0.18059088241048718
101041017,701,3296,196,453,0.709427464485579,0.15088247955230305,0.09750322858372794,0.04218682737839001
101041018,513,4452,129,710,0.7670572019297036,0.08838731909028257,0.12232942798070297,0.02222605099931082
101041019,161,3405,121,314,0.8510372406898276,0.04023994001499625,0.07848037990502374,0.030242439390152462
101041020,43,4156,182,14,0.9456200227531285,0.009783845278725825,0.0031854379977246873,0.04141069397042093
101041021,93,1818,99,335,0.7752665245202559,0.0396588486140725,0.14285714285714285,0.04221748400852878
101041022,0,16,3,0,0.8421052631578947,0,0,0.15789473684210525
101041023,128,1268,120,118,0.7760097919216646,0.07833537331701346,0.07221542227662178,0.07343941248470012
101041024,21,1917,83,5,0.9461994076999013,0.010365251727541954,0.0024679170779861796,0.04096742349457058
101041025,483,3866,278,1313,0.6508417508417509,0.08131313131313131,0.22104377104377104,0.0468013468013468
101041026,203,4150,125,193,0.8884607150503104,0.04345964461571398,0.04131877542282167,0.02676086491115393
101041027,359,4572,250,520,0.8019645676197158,0.06297140852482021,0.0912120680582354,0.04385195579722856
101051539,550,8338,218,1062,0.8200236034618411,0.054091266719118805,0.10444531864673486,0.02143981117230527
101051540,37,6417,295,86,0.9388441843452816,0.005413313825896123,0.012582297000731529,0.04316020482809071
101061541,41,2427,44,255,0.8771232381640767,0.014817491868449585,0.09215757137694254,0.01590169859053126
101061542,15,4544,135,25,0.9629158720067811,0.003178639542275906,0.005297732570459843,0.028607755880483154
101061543,323,4077,57,246,0.8668934722517542,0.06867956623431852,0.052307038060812244,0.012119923453115033
101061544,106,3549,122,169,0.8993917891535732,0.026862645717181957,0.04282818043588444,0.030917384693360365
102011028,322,2983,103,247,0.8161422708618331,0.0880984952120383,0.06757865937072503,0.028180574555403556
102011029,109,5062,62,138,0.94246881400111715,0.02029417240737293,0.025693539378141873,0.011543474213368089
102011030,26,2058,100,19,0.9341806627326373,0.011802088061733999,0.008624602814344077,0.04539264639128461
102011031,241,4676,28,815,0.8118055555555556,0.041840277777777775,0.14149305555555555,0.004861111111111111
102011032,3538,3902,175,1602,0.4233481610068352,0.3838559184116307,0.1738092654876858,0.018986655093848323
102011033,8,1984,17,166,0.912183908045977,0.0036781609195402297,0.07632183908045977,0.007816091954022988
102011034,54,2078,8,1085,0.6443410852713178,0.01674418604651163,0.3364341085271318,0.00248062015503876
102011035,8,2155,17,278,0.8767290480065093,0.0032546786004882017,0.11310008136696502,0.006916192026037429
102011036,237,2313,21,339,0.7948453608247422,0.08144329896907217,0.11649484536082474,0.007216494845360825
102011037,166,2320,23,166,0.8672897196261682,0.06205607476635514,0.06205607476635514,0.008598130841121496
102011038,181,2503,12,216,0.8595467032967034,0.06215659340659341,0.07417582417582418,0.004120879120879121
102011039,1294,4398,35,466,0.7101566284514774,0.20894558372355887,0.07524624576134345,0.005651542063620217
102011040,848,8319,464,2407,0.6910616381458714,0.07044359528160823,0.19995015783352715,0.03854460873899319
102011041,258,3249,20,368,0.8341463414634146,0.0662387676508344,0.0944801026957638,0.005134788189987163
102011042,543,4367,175,1589,0.6543302367395865,0.08136050344620917,0.23808810308660475,0.02622115672759964
102011043,118,3478,54,1020,0.7447537473233404,0.025267665952890792,0.21841541755888652,0.011563169164882228
102021044,253,7565,72,1187,0.8334251404649113,0.027872645147075024,0.1307700782196761,0.007932136168337557
102021045,17,3999,14,97,0.9689847346740974,0.004119214926096438,0.023503755754785558,0.003392294645020596
102021046,187,4065,90,83,0.9186440677966101,0.04225988700564972,0.018757062146892656,0.020338983050847456
102021047,255,5233,13,381,0.8896633798027882,0.04335260115606936,0.06477388643318599,0.0022101326079564773
102021048,1066,7446,229,700,0.7886876390212901,0.11291176782120538,0.07414468806270522,0.02425590509479928
102021049,16,1162,16,10,0.9651162790697675,0.013289036544850499,0.008305647840531562,0.013289036544850499
102021050,64,4792,44,32,0.9716139497161395,0.012976480129764802,0.006488240064882401,0.008921330089213302
102021051,6,1431,9,374,0.7862637362637362,0.0032967032967032967,0.20549450549450549,0.004945054945054945
102021052,39,2635,15,29,0.9694628403237675,0.01434878587196468,0.010669610007358351,0.005518763796909493
102021053,2573,3957,212,2644,0.4215853398678883,0.2741316854890262,0.28169614319198805,0.02258683145109738
102021054,429,3407,124,791,0.7171121869080194,0.09029677962534204,0.16649126499684277,0.026099768469795833
102021055,34,1550,17,378,0.7832238504295098,0.017180394138453764,0.1910055583628095,0.008590197069226882
102021056,7,4741,26,320,0.930702787593247,0.0013741656851197488,0.06281900274833137,0.005104043973301924
102021057,268,2846,86,479,0.773579777113346,0.07284588203316118,0.13019842348464256,0.02337591736885023
103011058,771,7849,178,1667,0.7500238891543239,0.0736741519350215,0.15929288103201147,0.017009077878643097
103011059,58,3774,73,260,0.9061224489795918,0.013925570228091237,0.062424969987995196,0.01752701080432173
103011060,15,2975,61,6,0.9731763166503108,0.004906771344455349,0.001962708537782139,0.01995420346745175
103011061,54,2122,132,16,0.9130808950086059,0.02323580034423408,0.0068846815834767644,0.05679862306368331
103021062,119,2868,150,22,0.9078822412155746,0.03767014878125989,0.006964229186451409,0.04748338081671415
103021063,322,3708,88,154,0.8679775280898876,0.075374531835206,0.03604868913857678,0.020599250936329586
103021064,55,2552,63,63,0.933772411269667,0.020124405415294547,0.02305159165751921,0.02305159165751921
103021065,235,4137,159,159,0.8820895522388059,0.050106609808102345,0.03390191897654584,0.03390191897654584
103021066,20,1748,30,65,0.9382716049382716,0.010735373054213635,0.03488996242619431,0.01610305958132045
103021067,440,4143,132,212,0.8408768012989649,0.08930383600568297,0.04302821189364725,0.026791150801704893
103021068,23,1599,49,11,0.950653983353151,0.013674197384066587,0.006539833531510107,0.029131985731272295
103021069,121,2694,96,17,0.9200819672131147,0.041325136612021855,0.005806010928961749,0.03278688524590164
103031070,226,5024,72,674,0.837891927951968,0.037691794529686455,0.1124082721814543,0.01200800533689126
103031071,360,3218,114,41,0.8620412536833646,0.09643718189124029,0.010983123493169033,0.03053844093222609
103031072,307,4382,176,408,0.8310259814147544,0.05822112649345724,0.07737530817371516,0.0333775839180732
103031073,46,1870,52,14,0.9434914228052472,0.02320887991927346,0.007063572149344097,0.026236125126135216
103031074,55,4785,150,54,0.9486518636003172,0.010904044409199048,0.01070578905630452,0.02973830293417922
103031075,0,0,0,0,NaN,NaN,NaN,NaN
103041076,105,2986,56,44,0.935756816045127,0.032905045440300845,0.013788780946411783,0.01754935756816045
103041077,524,7019,198,1313,0.7752374641042633,0.05787497238789485,0.1450187762314999,0.02186878727634195
103041078,277,6894,74,522,0.8876013904982619,0.03566370542036822,0.06720741599073002,0.009527488090639887
103041079,66,4535,84,25,0.9628450106157113,0.014012738853503185,0.005307855626326964,0.017834394904458598
104011080,789,6694,228,719,0.7940688018979833,0.09359430604982207,0.08529062870699881,0.02704626334519573
104011081,63,6547,448,53,0.9206862607228238,0.008859513429897343,0.007453241456897764,0.0630009843903811
104011082,857,6775,918,619,0.7389028247355218,0.09346711746100993,0.06751008834114952,0.10011996946231869
104021083,38,2418,53,58,0.941955590183093,0.014803272302298403,0.02259446825087651,0.020646669263731984
104021084,1214,4898,464,1417,0.6127861879144251,0.15188289753534343,0.17728012010509195,0.0580507944451395
104021085,1332,2483,107,732,0.5335195530726257,0.2862054146970348,0.1572840567253975,0.022990975504941984
104021086,16,1439,26,4,0.969023569023569,0.010774410774410775,0.0026936026936026937,0.017508417508417508
104021087,22,1605,42,11,0.9553571428571429,0.013095238095238096,0.006547619047619048,0.025
104021088,154,2974,177,415,0.7994623655913978,0.04139784946236559,0.11155913978494623,0.04758064516129032
104021089,787,6370,311,1025,0.7500294360061227,0.09266454727422584,0.12068762510302602,0.03661839161662546
104021090,143,1846,178,191,0.7828668363019508,0.060644614079728584,0.0810008481764207,0.07548770144189991
104021091,144,4639,648,431,0.79136813374275,0.02456499488229273,0.07352439440464005,0.1105424769703173
105011092,115,1648,177,29,0.8369730827831386,0.05840528186896902,0.014728288471305232,0.0898933468765871
105011093,289,2016,129,40,0.814874696847211,0.11681487469684722,0.016168148746968473,0.052142279708973324
105011094,110,1911,78,20,0.901840490797546,0.05191127890514394,0.009438414346389807,0.03680981595092025
105011095,137,2136,113,78,0.8668831168831169,0.05560064935064935,0.03165584415584415,0.04586038961038961
105011096,199,2862,797,8,0.7403000517330575,0.05147439213657527,0.0020693222969477496,0.20615623383341955
105021097,305,8855,224,280,0.9162872516556292,0.03156043046357616,0.028973509933774833,0.023178807947019868
105021098,34,1270,103,39,0.8782849239280774,0.02351313969571231,0.026970954356846474,0.07123098201936376
105031099,99,3685,182,70,0.9130327056491576,0.024529236868186324,0.01734390485629336,0.04509415262636274
105031100,168,3400,77,570,0.8066429418742586,0.0398576512455516,0.13523131672597866,0.01826809015421115
105031101,1054,5736,152,543,0.7663326653306614,0.14081496325985304,0.07254509018036072,0.020307281229124917
105031102,432,3025,168,132,0.8051636944370508,0.11498536066010115,0.03513441575725313,0.04471652914559489
105031103,0,2123,46,3,0.9774401473296501,0,0.0013812154696132596,0.02117863720073665
105031104,67,1895,72,11,0.9266503667481663,0.03276283618581907,0.0053789731051344745,0.035207823960880194
105031105,138,2665,60,53,0.913923182441701,0.047325102880658436,0.018175582990397805,0.0205761316872428
105031106,337,3236,110,114,0.8522517777192521,0.08875427969449566,0.030023702923360547,0.028970239662891757
106011107,41,3879,80,115,0.9426488456865127,0.009963547995139732,0.027946537059538274,0.019441069258809233
106011108,213,7618,105,1057,0.8471033025686645,0.023685088402090514,0.11753586122539753,0.011675747803847437
106011109,10,3188,71,8,0.9728410131217577,0.003051571559353067,0.0024412572474824534,0.021666158071406774
106011110,47,3838,114,29,0.9528301886792453,0.01166832174776564,0.007199602780536246,0.02830188679245283
106011111,164,6336,50,595,0.8867739678096571,0.022953114065780267,0.08327501749475158,0.006997900629811057
106011112,396,5322,132,707,0.8116516699710233,0.06039347262467592,0.10782369986274211,0.02013115754155864
106011113,13,1993,50,0,0.9693579766536965,0.00632295719844358,0,0.024319066147859923
106021114,111,2150,243,208,0.7927728613569321,0.04092920353982301,0.07669616519174041,0.08960176991150443
106021115,555,9147,135,1529,0.804768608129509,0.048829843392574346,0.13452401900404715,0.011877529473869435
106021116,5,2618,35,168,0.9263977353149327,0.0017692852087756545,0.059447983014861996,0.012384996461429583
106021117,162,7760,117,822,0.8757476582778467,0.0182823609073468,0.09276605349283376,0.013203927321972689
106021118,19,3444,18,118,0.9569324812447902,0.005279244234509586,0.03278688524590164,0.005001389274798555
106031119,20,2144,197,357,0.7888153053715967,0.007358351729212656,0.13134657836644592,0.07247976453274467
