sex,age,sa2_code,region,time,value
Males,35 - 39,101011003,Yass,2016,166
Males,55 - 59,101021008,Karabar,2016,280
Females,85 and over,118011345,Paddington - Moore Park,2016,131
Males,80 - 84,101011005,Young,2016,116
Males,85 and over,122011419,Manly - Fairlight,2016,197
Males,75 - 79,121041416,Neutral Bay - Kirribilli,2016,252
Males,50 - 54,112011238,Bangalow,2016,224
Males,65 - 69,113031266,Temora,2016,241
Males,55 - 59,106021114,Maitland,2016,225
Females,25 - 29,123021436,Bradbury - Wedderburn,2016,740
Females,30 - 34,111011206,Belmont - Bennetts Green,2016,509
Females,80 - 84,104021084,Coffs Harbour - North,2016,277
Males,75 - 79,106021117,Maitland - West,2016,238
Females,30 - 34,110041205,Tamworth Region,2016,523
Males,5 - 9,107031136,Albion Park - Macquarie Pass,2016,581
Females,30 - 34,119011361,Yagoona - Birrong,2016,793
Females,85 and over,106031123,Seaham - Woodville,2016,18
Females,65 - 69,101021010,Queanbeyan - East,2016,85
Females,35 - 39,114011277,North Nowra - Bomaderry,2016,430
Females,60 - 64,108051171,Wingham,2016,187
Females,85 and over,102021044,Bateau Bay - Killarney Vale,2016,624
Males,0 - 4,120031390,Ashfield,2016,675
Females,40 - 44,114011279,St Georges Basin - Erowal Bay,2016,406
Females,0 - 4,102021045,Blue Haven - San Remo,2016,422
Females,35 - 39,115011292,Castle Hill,2016,1125
Females,85 and over,128021537,Royal National Park,2016,0
Females,50 - 54,111031227,Mayfield - Warabrook,2016,468
Males,20 - 24,110041201,Quirindi,2016,190
Females,80 - 84,126021497,Eastwood - Denistone,2016,267
Males,25 - 29,101011002,Goulburn Region,2016,261
Males,30 - 34,121041416,Neutral Bay - Kirribilli,2016,1155
Males,85 and over,112011243,Mullumbimby,2016,50
Males,65 - 69,111021219,Toronto - Awaba,2016,487
Females,0 - 4,107021135,Illawarra Catchment Reserve,2016,0
Females,40 - 44,111031228,Merewether - The Junction,2016,476
Males,15 - 19,114011281,Tomerong - Wandandian - Woollamia,2016,111
Males,85 and over,108031161,Lord Howe Island,2016,3
Females,65 - 69,116031313,Bidwill - Hebersham - Emerton,2016,493
Females,70 - 74,101011006,Young Region,2016,214
Females,75 - 79,106021115,Maitland - East,2016,463
Males,45 - 49,109011173,Albury - North,2016,336
Males,45 - 49,125041494,Winston Hills,2016,408
