sa2_code,region,females,males,x0_4,x10_14,x15_19,x20_24,x25_29,x30_34,x35_39,x40_44,x45_49,x5_9,x50_54,x55_59,x60_64,x65_69,x70_74,x75_79,x80_84,x85_and_over
101021007,Braidwood,1948,2002,222,212,194,119,132,187,178,279,291,245,294,393,315,336,253,159,71,70
101021008,Karabar,4307,4224,561,557,605,583,585,578,556,590,631,595,579,573,481,393,270,215,99,80
101021009,Queanbeyan,5583,5647,796,415,457,835,1241,1139,845,759,721,533,704,604,530,484,341,278,243,305
101021010,Queanbeyan - East,2413,2557,395,203,238,375,522,511,348,314,365,260,349,339,239,180,143,95,54,40
101021011,Queanbeyan Region,8481,8810,1114,1289,1176,859,924,932,1098,1356,1504,1314,1425,1303,1098,891,517,286,122,83
101021012,Queanbeyan West - Jerrabomberra,6589,6561,923,1074,1049,798,738,846,870,1105,1271,1082,1129,780,545,393,222,176,85,64
101031013,Bombala,1184,1236,151,123,123,114,114,127,113,122,151,150,181,194,190,202,130,83,63,89
101031014,Cooma,3392,3478,360,368,420,377,402,400,359,422,456,400,490,482,408,434,337,276,241,238
101031015,Cooma Region,1619,1708,144,214,216,106,105,139,144,218,277,225,268,286,281,251,217,132,66,38
101031016,Jindabyne - Berridale,3271,3800,334,483,400,515,554,444,452,552,554,483,536,508,400,352,221,129,95,59
101041017,Batemans Bay,4004,3867,402,429,363,320,355,363,343,415,427,481,458,585,668,734,559,406,273,290
101041018,Batemans Bay - South,4415,4095,380,450,436,318,306,331,358,464,468,435,548,638,722,841,695,485,308,327
101041019,Bega - Tathra,4404,4189,511,548,512,395,374,447,432,476,555,576,625,725,620,530,443,352,235,237
101041020,Bega-Eden Hinterland,4439,4513,417,598,557,283,295,363,347,483,671,534,824,949,960,755,424,251,145,96
101041021,Broulee - Tomakin,1706,1635,136,199,168,130,102,129,157,177,188,189,231,288,278,281,208,187,139,154
101041022,Deua - Wadbilliga,12,13,0,0,0,0,0,1,1,1,1,0,5,1,3,6,3,0,0,3
101041023,Eden,1672,1626,179,172,165,142,145,154,146,184,183,161,225,274,270,285,223,159,110,121
101041024,Eurobodalla Hinterland,1657,1722,133,204,214,141,123,121,149,190,244,161,329,336,320,327,207,93,57,30
101041025,Merimbula - Tura Beach,5633,5213,446,557,504,430,402,432,457,536,664,559,721,885,920,1039,805,622,430,437
101041026,Moruya - Tuross Head,4045,4025,322,412,438,281,270,319,302,444,466,403,610,753,811,750,602,413,273,201
