Year,SA2 Code,highest year of school completed (persons over 15) over year 8,persons with post school qual - bachelor ,highest year of school completed (persons over 15) over year 11,highest year of school completed (persons over 15) over year 10,highest year of school completed (persons over 15) did not go to school,persons with post school qual - with a post-school qualification,persons with post school qual - grad dip/grad cert,persons with post school qual -inadequately described,highest year of school completed (persons over 15) not stated,highest year of school completed (persons over 15) over year 12,persons with post school qual - adv diploma,persons with post school qual -certificate,persons with post school qual - postgrad,highest year of school completed (persons over 15) over year 9
2016,101041021,4.6,12.6,7.1,26.7,0.1,64.4,3.3,13.2,9.8,42.4,9.1,23.6,2.7,9.4
2016,101041022,16,24,null,null,null,64,null,28,28,36,12,12,null,null
2016,101041023,7.4,6.5,9.1,29.8,0.4,53.8,1,16.6,14.5,29.1,6.5,21.6,1.4,9.7
2016,101021008,6,8.8,6.9,25.1,0.5,53.5,1.9,9.2,7.5,47,8.3,22.3,3,7.1
2016,101041024,5.4,9.1,7.6,33,0.2,62.3,1.7,11.9,9,35.6,8.9,28.5,2.4,9.2
2016,101041026,5.8,9.8,7.2,29.8,0.3,60.7,2,12.3,9.7,37.7,9,25.1,2.6,9.6
2016,103031073,9.4,5.8,7.2,32.1,0.4,53.5,0.7,16.4,14.9,25.4,5.7,23.4,1.2,10.5
2016,103031075,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,101021010,3.2,16.2,6.9,19.1,0.4,62.7,2.2,8.4,6.7,58.7,9.6,19.2,7.1,4.8
2016,101021011,2.2,15.6,5.9,19.1,0.2,69.1,3.5,12.3,10.9,57.1,10.9,20,6.9,4.5
2016,102011032,3.9,14.7,6.2,24.2,0.4,62.6,1.5,11.5,9.1,49.3,10,21.2,3.7,6.9
2016,103041077,7,11.3,6.4,28.7,0.5,57.2,1.6,12.8,10.8,37.3,7.7,21,2.7,9.3
2016,103041078,4.2,13.5,7,28.6,0.5,61.7,2.1,9,7.3,45.1,9.1,24.7,3.4,7.4
2016,103041079,4.9,12.1,6.6,30.5,0.1,61.3,1.5,11.1,9.2,40.7,9.1,24.5,3,7.9
