SA2_CODE,EDU_DIPLOMA,EDU_BACHELOR,EDU_CERTIFICATE,EDU_POSTGRAD,EDU_OTHER
101021007,272,401,1369,229,547
101021008,548,586,2919,321,618
101021009,797,1288,3554,675,1022
101021010,385,658,1513,375,341
101021011,1459,2079,5337,1379,1638
101021012,1093,1501,3685,1066,618
101031013,140,153,869,36,234
101031014,411,504,2631,205,974
101031015,232,314,1291,108,387
101031016,555,721,3228,279,731
101041017,467,439,3179,190,924
101041018,609,670,3386,303,978
101041019,531,765,3020,298,909
101041020,646,812,3803,347,889
101041021,255,352,1315,165,354
101041022,0,0,0,0,0
101041023,188,167,1160,50,467
101041024,247,253,1604,115,319
101041025,806,970,4355,406,1163
101041026,603,669,3465,311,826
101041027,648,777,3775,364,1130
101051539,1561,1421,8751,590,2811
101051540,906,896,5194,408,1393
101061541,427,626,2291,223,668
101061542,927,1500,3545,900,912
101061543,550,646,3919,176,1016
101061544,454,480,2591,142,828
102011028,704,1068,2530,441,452
102011029,964,1262,4145,526,759
102011030,390,435,1836,160,554
102011031,1165,1544,4632,621,1378
102011032,1577,2323,6619,820,1799
102011033,545,508,2529,182,494
102011034,544,660,3012,237,559
102011035,545,652,2726,247,383
102011036,665,818,3207,287,460
102011037,593,743,2291,317,414
102011038,621,680,3084,229,465
102011039,1218,2004,4608,796,886
102011040,1726,1729,9408,750,2317
102011041,885,1303,3542,487,629
102011042,996,1097,5214,474,1409
102011043,920,948,4280,319,1180
102021044,1537,1579,9158,461,1983
102021045,568,360,4723,84,778
102021046,619,456,4365,148,837
102021047,1164,1107,6839,385,1008
102021048,1242,979,9016,305,2553
102021049,280,330,1289,122,352
102021050,644,490,4935,137,991
102021051,427,544,1890,189,298
102021052,342,277,2902,82,371
102021053,1039,1043,5913,385,1655
102021054,619,537,4125,174,1164
102021055,376,471,2015,161,416
102021056,1116,943,5941,337,890
102021057,536,477,3415,157,854
103011058,1503,2380,8641,1011,2723
103011059,698,878,4445,324,833
103011060,493,577,2842,309,1036
103011061,238,246,1761,77,665
103021062,293,342,1905,86,868
103021063,441,497,3361,134,987
103021064,345,387,2034,80,544
103021065,535,608,3659,156,1174
103021066,194,226,1296,51,455
103021067,532,651,4210,183,1263
103021068,196,179,1236,68,415
103021069,254,322,2032,77,813
103031070,637,653,5101,230,1775
103031071,518,458,3507,174,1193
103031072,656,917,4709,240,1234
103031073,152,165,1351,44,488
103031074,537,602,4107,193,1451
103031075,0,0,0,0,0
103041076,418,541,2871,203,731
103041077,1200,1765,6518,681,2004
103041078,1363,2009,7407,822,1350
103041079,827,1088,4434,390,1008
104011080,979,1064,7268,333,2175
104011081,916,848,6632,328,1754
104011082,1082,1184,6958,394,1830
104021083,503,782,1947,300,494
104021084,1289,1386,6670,416,1708
104021085,718,949,3726,303,1466
104021086,291,309,1705,136,387
104021087,200,244,1232,87,361
104021088,791,1101,3495,381,628
104021089,1416,1735,8013,599,1508
104021090,326,437,1994,134,490
104021091,894,1096,4618,322,1238
105011092,188,231,918,46,701
105011093,173,248,1703,77,582
105011094,169,232,1114,34,665
105011095,223,306,1496,71,632
105011096,310,345,1678,88,917
105021097,816,895,6806,371,2109
105021098,107,93,659,24,470
105031099,400,488,2719,146,1034
105031100,551,822,3996,322,922
105031101,1034,1723,6391,608,1469
105031102,506,624,3151,188,832
105031103,343,506,2354,122,588
105031104,202,252,1519,51,513
105031105,330,415,2204,82,734
105031106,448,403,2894,123,1787
106011107,648,681,4595,214,825
106011108,1017,828,9099,240,2726
106011109,519,547,3421,238,930
106011110,666,660,3765,221,870
106011111,785,568,7874,164,1526
106011112,868,987,7377,314,1137
106011113,269,294,2108,71,658
106021114,441,499,2714,170,588
106021115,2025,2273,11024,833,1930
106021116,614,910,2960,355,459
106021117,1293,1196,9977,416,1614
106021118,719,673,4529,252,403
106031119,424,431,2644,154,630
106031120,455,302,3133,113,660
106031121,1810,1728,9131,703,2336
106031122,689,588,5726,186,1273
106031123,428,485,2513,177,346
106031124,437,383,2358,156,525
106031125,1050,802,6255,282,1265
106041126,527,571,4885,186,1196
106041127,225,183,1709,35,386
106041128,343,426,2236,112,602
106041129,448,466,3268,127,990
107011131,1498,1296,10481,498,1626
107011132,713,632,3763,277,457
107011133,0,0,0,0,3
107011134,1132,1614,5837,719,1270
107011545,783,642,4978,223,1166
107011546,496,497,3364,177,956
107011547,278,214,1774,107,455
107021135,0,0,0,0,0
107031136,1001,888,6699,309,900
107031137,417,296,3283,74,695
107031138,761,1012,2825,508,644
107031139,581,791,2432,350,310
107031140,717,1143,2707,511,775
107031141,1359,1505,6810,572,1052
107031142,758,613,4446,231,697
107031143,1152,897,8237,325,2061
107041144,1645,2569,7332,1360,1461
107041145,1151,1406,6113,600,1114
107041146,1649,2943,6821,1657,1125
107041147,748,1028,3417,496,626
107041148,960,1968,3300,1283,667
107041150,1633,2269,7237,1232,1285
