SA2_CODE,ENG_NOT_WELL,ENG_ONLY,ENG_UNKNOWN,ENG_V_WELL,ENG_WELL,ENG_NOT_WELL_CHILD,ENG_NOT_WELL_RETIRED,ENG_NOT_WELL_WORKING_AGE,ENG_ONLY_CHILD,ENG_ONLY_RETIRED,ENG_ONLY_WORKING_AGE,ENG_UNKNOWN_CHILD,ENG_UNKNOWN_RETIRED,ENG_UNKNOWN_WORKING_AGE,ENG_V_WELL_CHILD,ENG_V_WELL_RETIRED,ENG_V_WELL_WORKING_AGE,ENG_WELL_CHILD,ENG_WELL_RETIRED,ENG_WELL_WORKING_AGE,PERC_ENG_ONLY,PERC_ENG_NOT_WELL,ENG_PROFICIENT
101021007,9,3327,430,87,20,3,3,3,569,768,1990,62,120,248,13,24,50,6,4,10,0.8590240123934935,0.0023237800154918666,3434
101021008,120,6660,460,669,330,10,49,61,1404,757,4499,109,78,273,87,74,508,21,100,209,0.8083505279766962,0.01456487437795849,7659
101021009,256,7707,885,1269,698,58,110,88,1233,1087,5387,165,158,562,153,124,992,60,175,463,0.7126213592233009,0.0236708275543227,9674
101021010,79,3517,330,537,324,20,12,47,565,410,2542,81,41,208,92,22,423,35,52,237,0.7346981407979946,0.01650302903697514,4378
101021011,45,14363,1573,766,194,5,25,15,3137,1565,9661,296,203,1074,108,87,571,20,45,129,0.8478248037305944,0.002656277669559058,15323
101021012,88,10788,523,974,276,17,38,33,2617,695,7476,110,54,359,138,80,756,30,67,179,0.8528737449600758,0.006957071705273144,12038
101031013,3,2173,149,40,17,0,0,3,382,517,1274,23,40,86,0,9,31,0,5,12,0.9122586062132662,0.0012594458438287153,2230
101031014,39,5578,710,291,108,3,12,24,980,1196,3402,50,219,441,30,82,179,3,49,56,0.8293190603627714,0.005798394290811775,5977
101031015,0,2886,279,77,35,0,0,0,501,632,1753,53,58,168,0,31,46,0,21,14,0.880683552029295,0,2998
101031016,49,5959,599,272,72,4,3,42,1110,771,4078,79,61,459,50,48,174,3,17,52,0.8572867213350597,0.007049345417925478,6303
101041017,16,6796,543,230,80,0,10,6,1129,1980,3687,70,209,264,24,70,136,3,46,31,0.8866275277234181,0.002087410306588389,7106
101041018,30,7325,631,277,113,0,24,6,1064,2322,3939,95,224,312,42,80,155,10,61,42,0.8745224450811844,0.0035816618911174787,7715
101041019,0,7471,664,206,51,0,0,0,1387,1626,4458,123,145,396,26,42,138,11,10,30,0.8902526215443279,0,7728
101041020,8,7983,600,147,42,0,0,8,1358,1530,5095,75,131,394,25,36,86,0,16,26,0.9092255125284738,9.111617312072893e-4,8172
101041021,7,2925,259,66,26,4,0,3,459,845,1621,26,91,142,6,31,29,0,23,3,0.8909533962838867,0.0021321961620469083,3017
101041022,0,15,11,0,0,0,0,0,0,6,9,0,8,3,0,0,0,0,0,0,0.5769230769230769,0,15
101041023,0,2829,276,67,34,0,0,0,445,764,1620,45,84,147,9,31,27,0,17,17,0.8824079850280724,0,2930
101041024,0,2983,202,80,7,0,0,0,446,647,1890,22,58,122,5,26,49,0,7,0,0.9116748166259169,0,3070
101041025,26,9497,715,284,79,5,4,17,1337,2985,5175,71,284,360,50,74,160,3,16,60,0.8958588812376191,0.002452598811432884,9860
