SA2_CODE,HHOLD_FAM_MULTI,HHOLD_FAM_ONE,HHOLD_NON_FAM,TOTAL_HHOLD,PERC_HHOLD_FAM_MULTI,PERC_HHOLD_FAM_ONE,PERC_HHOLD_NON_FAM,HHOLD_SIZE_1_2,HHOLD_SIZE_3_5,HHOLD_SIZE_OVER_5,TOTAL_FOR_IN_HOUSE,PERC_HHOLD_SIZE_1_2,PERC_HHOLD_SIZE_3_5,PERC_HHOLD_SIZE_OVER_5,total,eight_or_more_persons,five_persons,four_persons,one_person,seven_persons,six_persons,three_persons,two_persons,perc_hh_1,perc_hh_2,perc_hh_3,perc_hh_4,perc_hh_5,perc_hh_6,perc_hh_7,perc_hh_8_more
101021007,23,1944,939,2915,0.007890222984562607,0.6668953687821613,0.3221269296740995,2054,796,67,2904,0.7041480973603017,0.2728830990743915,0.02296880356530682,2917,7,128,308,884,6,54,360,1170,0.3030510798765855,0.4010970174837161,0.12341446691806651,0.10558793280767913,0.04388069934864587,0.018512170037709975,0.002056907781967775,0.0023997257456290708
101021008,128,4220,1580,5934,0.021570610043815303,0.7111560498820357,0.26626221772834513,3277,2477,178,5930,0.5524275118004046,0.41756574511126093,0.030006743088334457,5932,18,434,1019,1426,38,122,1024,1851,0.2403910991233985,0.31203641267700605,0.17262306136210384,0.17178017532029669,0.07316250842886042,0.020566419420094403,0.0064059339177343225,0.0030343897505057315
101021009,102,4945,4202,9239,0.01104015586102392,0.5352310856153263,0.45481112674531876,6674,2440,133,9241,0.72174759381421,0.26386936303666053,0.014383043149129448,9247,9,359,837,3860,9,115,1244,2814,0.41743268086947116,0.30431491294473884,0.13453011787606792,0.09051584297610035,0.03882340218449227,0.012436465880826215,9.732886341516167e-4,9.732886341516167e-4
101021010,47,2298,1714,4069,0.0115507495699189,0.56475792578029,0.421233718358319,2780,1209,72,4067,0.6845604530903718,0.29770992366412213,0.017729623245506032,4061,3,141,456,1590,15,54,612,1190,0.39152918000492487,0.2930312730854469,0.15070179758680127,0.11228761388820488,0.03472051218911598,0.013297217434129524,0.0036936715094804235,7.387343018960847e-4
101021011,274,8658,1563,10491,0.026117624630635782,0.8252788104089219,0.1489848441521304,5102,4966,420,10498,0.4864607170099161,0.4734935163996949,0.04004576659038902,10488,52,986,2162,1430,59,309,1818,3672,0.13634630053394356,0.3501144164759725,0.17334096109839817,0.20614035087719298,0.09401220442410374,0.02946224256292906,0.005625476735316552,0.004958047292143402
101021012,154,6630,1492,8281,0.018596787827557058,0.8006279434850864,0.18017147687477358,3698,4310,269,8280,0.4467802343844388,0.5207200676573638,0.03249969795819741,8277,20,866,1937,1350,49,200,1507,2348,0.16310257339615802,0.2836776609882808,0.18207079859852604,0.23402198864322823,0.10462728041560952,0.024163344206838227,0.005920019330675366,0.0024163344206838224
101031013,3,1206,685,1895,0.0015831134564643799,0.6364116094986807,0.36147757255936674,1332,515,44,1898,0.7043892120571127,0.2723426758328926,0.023268112109994712,1891,0,84,185,640,6,38,246,692,0.33844526705446853,0.3659439450026441,0.13008989952406133,0.09783183500793231,0.044420941300899,0.02009518773135907,0.0031729243786356425,0
101031014,15,3352,2037,5401,0.002777263469727828,0.6206258100351787,0.37715237918903904,3862,1437,96,5410,0.7158480074142725,0.26635773864689527,0.01779425393883225,5395,6,218,513,1874,21,69,706,1988,0.34735866543095456,0.3684893419833179,0.1308619091751622,0.09508804448563485,0.04040778498609824,0.012789620018535681,0.003892493049119555,0.0011121408711770157
101031015,25,1749,676,2444,0.010229132569558102,0.7156301145662848,0.2765957446808511,1663,721,67,2443,0.6784985720114239,0.2941656466748266,0.02733578131374949,2451,7,138,299,636,14,46,284,1027,0.2594859241126071,0.4190126478988168,0.11587107303141575,0.12199102407180742,0.056303549571603426,0.018767849857201143,0.005711954304365565,0.0028559771521827824
101031016,34,3122,1594,4767,0.0071323683658485425,0.6549192364170338,0.3343822110341934,3011,1675,73,4758,0.632695944526161,0.3519646984660643,0.015339357007774742,4759,7,274,731,1328,0,66,670,1683,0.2790502206345871,0.35364572389157384,0.14078587938642573,0.15360369825593612,0.05757512082370246,0.013868459760453877,0,0.0014708972473208657
