SA2_CODE,Aboriginal_Persons_15 - 65,Aboriginal_Persons_Over 65,Aboriginal_Persons_Under 15,Both Aboriginal and Torres Strait Islander_Persons_15 - 65,Both Aboriginal and Torres Strait Islander_Persons_Over 65,Both Aboriginal and Torres Strait Islander_Persons_Under 15,Torres Strait Islander_Persons_15 - 65,Torres Strait Islander_Persons_Over 65,Torres Strait Islander_Persons_Under 15,total_indigenous_population
101021007,110,0,27,0,0,0,0,0,0,137
101021008,783,31,178,0,0,0,18,0,3,1013
101021009,513,6,86,4,0,0,10,0,0,619
101021010,271,3,65,3,0,0,0,0,0,342
101021011,517,7,119,14,0,9,3,0,0,669
101021012,559,9,106,13,0,0,4,0,0,691
101031013,80,3,14,0,0,0,0,0,0,97
101031014,358,7,50,3,0,0,6,0,0,424
101031015,106,7,16,0,0,0,4,0,0,133
101031016,129,3,23,0,0,0,10,0,6,171
101041017,894,30,236,4,0,0,13,0,0,1177
101041018,547,18,111,8,0,0,8,0,4,696
101041019,498,15,135,3,0,0,0,0,0,651
101041020,330,8,77,11,0,3,5,0,0,434
101041021,178,0,44,3,0,0,0,0,0,225
101041022,0,0,0,0,0,0,0,0,0,0
101041023,330,14,79,4,0,0,8,0,0,435
101041024,422,15,96,10,0,0,7,0,6,556
101041025,318,11,62,0,0,0,0,0,0,391
101041026,597,14,110,20,0,3,7,0,0,751
101041027,649,32,141,7,0,0,3,0,0,832
101051539,1527,33,301,29,0,10,28,9,0,1937
101051540,508,22,140,5,0,0,8,0,3,686
101061541,375,16,103,3,0,0,0,0,0,497
101061542,288,7,58,7,0,0,5,0,0,365
101061543,667,24,187,0,0,0,9,0,0,887
101061544,535,23,120,8,0,0,20,3,3,712
102011028,205,4,35,3,0,0,6,0,0,253
102011029,426,9,95,3,0,0,16,0,7,556
102011030,200,6,33,0,0,0,7,0,0,246
102011031,426,10,91,8,0,0,8,6,3,552
102011032,831,24,175,3,0,0,16,0,0,1049
102011033,373,4,50,0,0,0,24,0,3,454
102011034,299,10,64,3,0,0,10,0,9,395
102011035,370,4,83,0,0,0,8,0,0,465
102011036,255,3,58,0,0,0,3,0,0,319
102011037,192,6,41,0,0,0,3,0,0,242
102011038,280,6,59,11,0,0,9,0,0,365
102011039,319,6,67,7,0,3,9,0,3,414
102011040,1378,54,241,7,0,0,13,0,8,1701
102011041,315,7,67,0,0,0,9,0,0,398
102011042,1025,41,209,10,0,0,3,0,0,1288
102011043,554,13,134,14,0,6,15,0,0,736
102021044,1329,47,331,16,0,3,23,0,3,1752
102021045,1256,15,335,22,0,3,40,0,12,1683
102021046,838,33,196,14,0,3,11,0,3,1098
102021047,915,20,201,17,0,3,13,0,4,1173
102021048,1887,60,454,37,0,13,47,4,3,2505
102021049,130,3,23,3,0,0,0,0,0,159
102021050,717,31,149,8,0,6,16,4,0,931
102021051,203,0,50,0,0,0,0,0,0,253
102021052,428,15,91,9,0,3,4,0,0,550
102021053,1035,28,216,9,0,0,16,0,3,1307
102021054,733,32,155,9,0,3,13,0,5,950
102021055,277,10,70,3,0,0,3,0,0,363
102021056,1055,23,272,9,0,9,17,0,0,1385
102021057,885,38,207,17,0,3,15,0,0,1165
103011058,2010,36,409,34,0,9,21,7,0,2526
103011059,1136,29,312,20,3,12,28,0,12,1552
103011060,308,10,61,10,4,4,13,0,0,410
103011061,249,11,45,3,0,0,16,0,4,328
103021062,1732,74,394,4,0,6,9,0,0,2219
103021063,1273,59,274,24,0,6,12,8,0,1656
103021064,343,22,71,0,0,0,11,0,3,450
103021065,1662,81,332,50,0,14,23,3,4,2169
103021066,171,11,36,0,0,0,0,0,0,218
