SA2_CODE,LANG_HOME_EASIA,LANG_HOME_EEUROPE,LANG_HOME_ENGLISH,LANG_HOME_INDIGENOUS,LANG_HOME_NEUROPE,LANG_HOME_OTHER,LANG_HOME_SASIA,LANG_HOME_SEUROPE,LANG_HOME_SWASIA,PERC_LANG_HOME_ENGLISH
101021007,6,11,3300,0,21,13,11,45,8,0.9663250366032211
101021008,57,473,6649,12,50,164,94,235,33,0.8560576799279
101021009,177,487,7719,0,49,363,734,366,85,0.7734468937875751
101021010,55,172,3516,0,17,144,399,111,28,0.7915353444394417
101021011,84,193,14364,0,160,108,112,272,17,0.9382103200522535
101021012,89,453,10783,0,83,143,192,301,56,0.8911570247933884
101031013,31,14,2155,0,8,6,0,10,0,0.9689748201438849
101031014,57,54,5569,0,102,86,37,88,32,0.9243153526970954
101031015,0,26,2883,0,55,0,3,24,7,0.9616410940627085
101031016,72,56,5950,0,119,30,3,77,15,0.9411578614362544
101041017,18,55,6799,9,53,39,28,125,20,0.9514413657990484
101041018,21,100,7315,0,79,46,20,99,8,0.9514828303850156
101041019,20,7,7481,9,73,71,17,43,4,0.9684142394822006
101041020,15,19,7988,0,69,19,3,41,9,0.9785618032586059
101041021,0,16,2929,0,31,6,0,21,6,0.9734130940511798
101041022,0,0,19,0,0,0,0,0,0,1
101041023,9,13,2823,0,17,14,0,27,0,0.9724423010678608
101041024,3,6,2987,0,32,3,0,30,0,0.9758248938255472
101041025,34,44,9507,0,93,73,15,96,3,0.9637100861632032
101041026,11,46,7205,11,42,47,16,45,9,0.9694564047362756
101041027,25,46,7905,3,86,32,10,87,4,0.964259575506221
101051539,179,47,19834,0,77,280,237,166,71,0.9494040495907329
101051540,24,56,11274,0,76,32,14,113,45,0.9690562145435792
101061541,9,22,5875,3,40,39,20,32,24,0.9688324538258575
101061542,36,84,10398,0,83,48,18,76,9,0.9670758928571429
101061543,35,37,9468,0,26,42,31,49,192,0.9582995951417004
101061544,20,31,6653,0,17,14,13,31,31,0.9769456681350954
102011028,24,26,6609,0,114,24,13,129,15,0.9503882657463331
102011029,56,51,9812,0,75,47,3,150,21,0.9605482134116495
102011030,47,24,3849,4,28,29,13,199,37,0.9099290780141844
102011031,247,117,12109,0,145,106,52,204,60,0.9286042944785277
102011032,695,176,15056,0,186,424,487,332,87,0.8631542739207705
102011033,94,37,5465,3,47,116,53,108,54,0.9143382968044169
102011034,31,33,6748,0,47,59,18,56,5,0.9644133199942833
102011035,145,45,5863,0,48,123,37,108,15,0.9183897243107769
102011036,94,33,7305,0,49,99,13,84,29,0.9479626265247859
102011037,136,41,5481,0,77,97,26,75,24,0.9200940070505288
102011038,33,16,6466,0,44,17,6,77,0,0.971016669169545
102011039,147,79,11907,0,149,80,60,263,47,0.9352026390197926
102011040,161,203,20675,6,164,256,54,413,55,0.9403283758584619
102011041,33,20,8939,0,80,41,20,127,23,0.9629430141118173
102011042,274,121,12056,3,110,204,63,223,20,0.9221355361786753
102011043,219,76,9736,0,99,204,116,128,21,0.9185772242664403
102021044,98,61,19959,3,78,124,37,231,31,0.967849869071865
102021045,53,41,10092,0,40,127,13,144,36,0.9569505025602124
102021046,34,41,8584,0,32,43,10,68,19,0.972030347638999
102021047,71,63,14170,0,87,115,28,181,22,0.9615254122277261
102021048,95,105,19440,9,55,277,112,238,50,0.9538295471272263
102021049,6,4,2963,0,29,11,0,36,4,0.970520799213888
102021050,18,20,9878,8,39,55,14,88,8,0.9753159557661928
102021051,39,32,4399,0,21,64,15,52,11,0.9494927692639759
102021052,18,35,5326,0,21,25,5,100,3,0.9625881077173324
102021053,102,73,12904,0,47,143,85,350,67,0.9370416091787089
102021054,33,17,8612,3,42,90,11,93,8,0.9666629251318891
102021055,122,29,4400,0,33,95,126,82,36,0.8937639650619541
102021056,138,64,13500,0,92,268,197,284,50,0.9251010758582883
102021057,166,34,7488,0,47,190,114,110,46,0.9137278828553996
103011058,176,68,20409,17,82,264,284,142,67,0.948858617322981
103011059,59,19,10117,17,39,66,66,47,81,0.9625154599942917
103011060,7,12,5942,0,30,11,11,23,21,0.9810137031533762
103011061,9,57,3896,0,29,13,20,30,4,0.9600788565795959
103021062,10,3,5758,9,10,43,16,12,12,0.9804188659969352
103021063,53,28,8127,23,35,39,26,40,11,0.9695776664280601
103021064,16,14,4913,3,18,22,12,34,3,0.9757696127110228
103021065,20,13,9070,18,15,38,46,41,8,0.9785305858237134
103021066,11,3,3263,0,0,13,3,6,0,0.9890876023037284
103021067,66,17,9735,15,39,114,35,16,31,0.9669249106078666
103021068,14,7,2981,0,16,0,6,0,7,0.9835037941273507
103021069,25,4,5084,3,10,35,20,6,8,0.9786333012512031
103031070,61,46,10849,0,42,138,61,91,35,0.9581383025699903
103031071,21,45,7047,0,27,23,7,50,22,0.9730737365368682
103031072,49,37,10370,4,48,102,39,57,9,0.9678021465235651
103031073,7,15,2978,3,10,20,7,12,0,0.9757536041939712
103031074,13,16,8882,0,51,21,15,73,5,0.9786249449096518
103031075,0,0,0,0,0,0,0,0,0,NaN
103041076,14,5,6660,0,28,31,11,23,11,0.9818664307828394
103041077,137,97,16529,7,60,217,255,150,35,0.9452164465031166
103041078,183,113,17403,3,108,274,397,137,102,0.9296474358974359
103041079,15,28,10591,3,60,40,6,52,7,0.9804665802629142
104011080,69,15,16861,19,45,109,71,45,7,0.9779595151093324
104011081,24,3,13788,15,84,49,29,44,0,0.9823311484753491
104011082,72,13,14741,22,62,81,19,90,6,0.9758374155964518
104021083,14,6,5162,11,89,29,13,60,8,0.9573442136498517
104021084,141,42,14636,12,144,529,248,211,170,0.9072088266286493
104021085,71,53,8136,4,51,429,140,132,135,0.8890831603103486
104021086,7,11,3372,4,54,22,20,9,0,0.9637039154044013
104021087,7,10,2874,0,22,11,3,14,0,0.9772186331179871
104021088,61,74,7763,9,89,44,66,123,11,0.9421116504854369
104021089,80,44,17657,6,144,200,114,152,22,0.9586296758781693
104021090,12,3,4277,8,20,12,0,20,0,0.9827665441176471
104021091,136,18,10190,12,55,87,971,45,52,0.8810306069514093
105011092,3,0,3225,25,6,10,37,10,4,0.9713855421686747
105011093,18,4,3919,10,20,51,42,22,0,0.9591287322564855
105011094,6,0,3449,0,6,3,18,10,6,0.9859919954259577
105011095,15,0,4326,0,17,35,13,21,0,0.9771854529026429
105011096,20,113,5298,30,54,34,57,17,3,0.9416992534660504
105021097,33,29,15703,26,32,129,70,93,16,0.9734672369970864
105021098,0,0,2069,17,11,11,4,4,5,0.9754832626119755
105031099,9,8,7015,4,38,26,33,34,4,0.9782457118951332
105031100,75,8,9158,3,24,113,193,25,45,0.9496059726254666
105031101,151,31,14674,15,40,209,575,96,81,0.9245211693548387
105031102,83,8,7662,3,28,112,124,46,20,0.9475636903289636
105031103,0,3,5082,0,13,5,0,6,4,0.9939370232740075
105031104,7,0,3933,6,3,24,13,18,3,0.9815323184427253
105031105,15,12,5832,5,18,11,14,3,0,0.9868020304568528
105031106,15,10,7104,4,25,35,16,15,4,0.9828444936358606
106011107,26,28,9231,3,50,58,24,40,14,0.974350854971501
106011108,60,23,19425,0,39,120,77,46,14,0.980862452029893
106011109,15,9,6958,3,29,10,0,39,0,0.9851337958374629
106011110,10,6,8282,0,21,10,0,17,0,0.9923316558830577
106011111,21,13,16223,3,26,92,45,42,8,0.9848236508225581
106011112,93,20,14556,10,107,175,64,57,16,0.9641012054576765
106011113,6,6,4195,5,19,3,7,28,10,0.9803692451507362
106021114,37,10,5881,0,23,57,70,13,0,0.9655229026432441
106021115,205,91,24728,6,92,339,310,156,71,0.9511500884683437
106021116,13,15,7084,0,54,17,6,45,5,0.9785882027904407
106021117,93,53,20532,8,104,181,208,120,29,0.9626781695423856
106021118,66,32,9332,3,59,78,61,61,8,0.962061855670103
106031119,20,13,5060,0,49,10,0,62,0,0.9704641350210971
106031120,19,10,6078,6,40,25,0,44,13,0.9748195669607057
106031121,138,133,18436,0,143,134,48,330,44,0.9500154591363495
106031122,50,42,12362,0,30,154,55,71,14,0.9674440444514009
106031123,3,10,5066,4,22,9,0,36,0,0.9836893203883496
106031124,31,31,4558,3,44,15,22,37,3,0.9607925801011804
106031125,47,50,12278,8,64,65,10,74,19,0.9732857709076497
106041126,73,17,10571,3,43,161,110,44,14,0.9578651685393258
106041127,6,4,3615,0,15,14,0,17,3,0.9839412084921066
106041128,68,7,5147,0,16,104,30,29,10,0.9512104971354648
106041129,10,3,7298,0,21,35,26,11,14,0.9838231329199245
107011131,105,374,20865,7,152,272,103,560,88,0.9262629849951167
107011132,143,303,7471,3,33,75,111,225,66,0.8862396204033215
107011133,0,0,6,0,0,0,0,0,0,1
107011134,137,898,12162,0,100,173,141,722,256,0.8336417849064364
107011545,93,1436,9035,0,75,450,33,978,903,0.6948396523879105
107011546,75,1341,5981,0,40,308,43,1102,213,0.6570361419312315
107011547,13,91,3571,0,24,67,8,241,53,0.877826941986234
107021135,0,0,7,0,0,0,0,0,0,1
107031136,55,150,12992,0,104,107,44,296,28,0.943089430894309
107031137,16,80,6140,0,42,74,17,128,28,0.9409961685823754
107031138,81,35,6826,0,79,47,6,120,22,0.9459534368070953
107031139,13,42,5417,0,55,27,3,62,11,0.9621669626998224
107031140,17,22,6900,3,44,18,16,112,3,0.9670637701471618
107031141,124,814,13948,0,110,178,128,553,172,0.8702814001372684
107031142,77,539,8091,5,121,133,59,352,102,0.853571051798713
107031143,87,748,16778,4,131,225,62,808,229,0.8797189597315436
107041144,721,507,16086,3,124,529,276,1267,686,0.796376058220704
107041145,136,330,12836,9,99,329,105,626,219,0.873851181155967
107041146,891,1035,15874,0,140,494,401,931,555,0.7811623443728163
107041147,66,53,7933,0,86,24,30,149,6,0.9504013417994489
107041148,68,97,10147,3,139,52,24,201,30,0.9429421057522535
107041150,114,174,17788,4,237,213,48,324,85,0.9368515299942065
