SA2 Code (2016),Persons Total Separated,Persons Total Widowed,Persons Total Divorced,Persons Total Never Married,Persons Total Married,Persons Total Total
101021007,109,200,406,904,1602,3222
101021008,255,356,583,2459,2967,6623
101031015,96,129,251,708,1535,2724
101031016,177,192,528,2299,2514,5709
101041017,256,589,805,1772,3027,6452
101041018,258,659,863,1746,3640,7166
101041019,251,484,743,2172,3200,6852
101041020,283,324,870,2170,3692,7335
101041021,101,242,319,667,1459,2789
101041022,3,0,3,10,11,25
101041023,103,267,309,807,1227,2715
101041024,108,128,348,876,1360,2824
101041025,334,802,1070,2240,4707,9156
101041026,263,484,797,1823,3528,6891
101041027,297,733,1076,1784,3938,7834
103031072,368,637,791,3046,4293,9135
103031073,134,261,367,889,1248,2896
103031074,324,496,803,2360,4335,8332
103031075,0,0,0,0,0,0
102011032,663,1066,2018,5655,6288,15692
103041076,212,353,557,1729,2909,5760
103041077,643,1276,1629,5597,6382,15534
103041078,463,669,1195,5078,7568,14968
103041079,243,444,633,2395,5341,9056
101021009,353,602,968,3648,3595,9169
101021010,129,148,430,1567,1707,3981
101021011,335,295,1016,3823,7904,13377
104011080,680,1374,1593,5111,6438,15191
104011081,550,701,1515,3730,6307,12801
104011082,523,1279,1647,3517,7080,14045
104021083,179,253,644,1533,1966,4568
104021084,623,1018,1794,4767,6046,14255
104021085,401,890,1067,2884,3443,8685
104021086,114,94,288,921,1639,3065
101021012,229,237,710,3105,5444,9725
101031013,79,170,201,571,962,1991
101031014,232,481,554,1911,2510,5678
101051539,716,1377,1799,6668,8177,18737
101051540,358,654,917,2716,5783,10430
101061541,173,433,481,1572,2519,5186
101061542,238,304,726,2446,5372,9092
101061543,328,643,711,2698,3965,8352
101061544,265,442,582,1670,3099,6059
102011028,199,198,535,1706,3101,5738
102011029,271,549,835,2300,4882,8834
102011030,172,160,379,1291,1947,3955
102011031,326,1236,1154,2874,6087,11672
102011042,523,1063,1524,3919,4773,11801
104021087,87,201,360,919,1160,2726
102011033,145,157,383,1831,2449,4970
102011034,176,662,659,1565,2997,6056
102011035,167,248,498,1793,2620,5324
102011041,212,358,610,2150,4324,7656
104021088,271,276,723,1803,3872,6945
104021089,615,1050,1780,4800,7600,15841
104021090,165,334,519,1113,1890,4018
104021091,433,664,1091,2990,5111,10280
105011092,99,184,185,1566,1028,3072
105011093,149,213,306,1304,1659,3624
105011094,114,242,237,1273,1390,3257
105011095,159,332,260,1361,1859,3962
105011096,220,308,549,2272,1779,5124
