SA2_MAINCODE_2016,SA2_NAME_2016,IS_SYDNEY,IS_SUA,TOTAL_POP,LAB_FORCE,PERC_LAB_FORCE
109011172,Albury - East,0,1,15321,7823,0.51060635728738335
109011176,Lavington,0,1,14725,6397,0.4344312393887946
109011173,Albury - North,0,1,10004,4596,0.4594162335065974
109011174,Albury - South,0,1,10686,4992,0.46715328467153283
109011175,Albury Region,0,0,11784,5519,0.468346911065852
110011186,Armidale,0,1,24114,10515,0.4360537447126151
110011187,Armidale Region - North,0,0,4558,2151,0.47191750767880647
110011188,Armidale Region - South,0,0,6120,2875,0.46977124183006536
108021156,Kempsey Region,0,0,9133,3688,0.40381035804226434
120031393,Croydon Park - Enfield,1,1,18000,8761,0.4867222222222222
120031391,Burwood - Croydon,1,1,25806,12401,0.4805471595752926
120031390,Ashfield,1,1,25596,13490,0.5270354742928582
120031395,Haberfield - Summer Hill,1,1,14041,7390,0.5263157894736842
103041079,Orange Region,0,0,11762,5754,0.48920251657881314
125011473,Homebush Bay - Silverwater,1,1,19576,9607,0.49075398447078056
125011586,Lidcombe,1,1,20904,10113,0.4837830080367394
125011583,Auburn - North,1,1,11981,5453,0.4551373007261497
125011585,Berala,1,1,9280,4113,0.44321120689655175
125011587,Regents Park,1,1,5241,2210,0.4216752528143484
125011584,Auburn - South,1,1,8827,3300,0.3738529511725388
125011582,Auburn - Central,1,1,18124,7219,0.3983116309865372
112011236,Ballina,0,1,17555,6786,0.3865565365992595
112011237,Ballina Region,0,0,17247,7715,0.44732417231982374
112011242,Lennox Head - Skennars Head,0,1,8088,3999,0.4944362017804154
112021249,Lismore Region,0,0,15415,7254,0.4705806033084658
109021179,Wentworth-Balranald Region,0,0,3684,1691,0.4590119435396308
121021578,Hornsby - West,1,1,11082,5407,0.4879083197978704
119011572,Bankstown - South,1,1,16658,6292,0.37771641253451793
119011571,Bankstown - North,1,1,17068,6656,0.38996953363018516
119021366,Punchbowl,1,1,21825,8109,0.3715463917525773
119011357,Greenacre - Mount Lewis,1,1,27293,9596,0.3515919832924193
119011361,Yagoona - Birrong,1,1,21611,8334,0.3856369441488131
119011355,Chullora,1,1,942,458,0.4861995753715499
