SA2_CODE,STATE_REGION
101021007,SOUTH
101021008,SOUTH
101021009,SOUTH
101021010,SOUTH
101021011,SOUTH
101021012,SOUTH
101031013,SOUTH
101031014,SOUTH
101031015,SOUTH
101031016,SOUTH
101041017,SOUTH
101041018,SOUTH
101041019,SOUTH
101041020,SOUTH
101041021,SOUTH
101041022,SOUTH
101041023,SOUTH
101041024,SOUTH
101041025,SOUTH
101041026,SOUTH
101041027,SOUTH
101051539,SOUTH
101051540,SOUTH
101061541,SOUTH
101061542,SOUTH
101061543,SOUTH
101061544,SOUTH
103011058,NORTH
103011059,NORTH
103011060,NORTH
103011061,SOUTH
103021062,NORTH
103021063,NORTH
103021064,NORTH
103021065,NORTH
103021066,SOUTH
103021067,NORTH
103021068,NORTH
103021069,SOUTH
103031070,NORTH
103031071,NORTH
103031072,NORTH
103031073,NORTH
103031074,NORTH
103041076,NORTH
103041077,NORTH
103041078,NORTH
103041079,NORTH
104011080,NORTH
104011081,NORTH
104011082,NORTH
104021083,NORTH
104021084,NORTH
104021085,NORTH
104021086,NORTH
104021087,NORTH
104021088,NORTH
104021089,NORTH
104021090,NORTH
104021091,NORTH
105011092,NORTH
105011093,NORTH
105011094,NORTH
105011095,NORTH
105011096,NORTH
105021097,NORTH
105021098,NORTH
105031099,NORTH
105031100,NORTH
105031101,NORTH
105031102,NORTH
105031103,NORTH
105031104,NORTH
105031105,NORTH
105031106,NORTH
106011107,NORTH
106011108,NORTH
106011109,NORTH
106011110,NORTH
106011111,NORTH
106011112,NORTH
106011113,NORTH
106021114,NORTH
106021115,NORTH
106021116,NORTH
106021117,NORTH
106021118,NORTH
106031119,NORTH
106031120,NORTH
106031121,NORTH
106031122,NORTH
106031123,NORTH
106031124,NORTH
106031125,NORTH
106041126,NORTH
106041127,NORTH
106041128,NORTH
106041129,NORTH
107011131,SOUTH
107011132,SOUTH
107011134,SOUTH
107011545,SOUTH
107011546,SOUTH
107011547,SOUTH
107021135,SOUTH
107031136,SOUTH
107031137,SOUTH
107031138,SOUTH
107031139,SOUTH
107031140,SOUTH
107031141,SOUTH
107031142,SOUTH
107031143,SOUTH
107041144,SOUTH
107041145,SOUTH
107041146,SOUTH
107041147,SOUTH
107041148,SOUTH
107041150,SOUTH
107041548,SOUTH
107041549,SOUTH
108011151,NORTH
108011152,NORTH
108011153,NORTH
108011154,NORTH
108021155,NORTH
108021156,NORTH
108021157,NORTH
108021158,NORTH
108021159,NORTH
108021160,NORTH
108031161,NORTH
108041162,NORTH
108041163,NORTH
108041164,NORTH
108041165,NORTH
108041166,NORTH
108051167,NORTH
108051168,NORTH
108051169,NORTH
108051170,NORTH
108051171,NORTH
109011172,SOUTH
109011173,SOUTH
109011174,SOUTH
109011175,SOUTH
109011176,SOUTH
109021177,SOUTH
109021178,SOUTH
109021179,NORTH
109031180,SOUTH
109031181,SOUTH
109031182,SOUTH
109031183,SOUTH
109031184,SOUTH
109031185,SOUTH
110011186,NORTH
110011187,NORTH
110011188,NORTH
110011189,NORTH
110021190,NORTH
110021191,NORTH
110021192,NORTH
110021193,NORTH
110021194,NORTH
110031195,NORTH
110031196,NORTH
110031197,NORTH
110031198,NORTH
110041199,NORTH
110041200,NORTH
110041201,NORTH
110041202,NORTH
110041203,NORTH
110041204,NORTH
110041205,NORTH
111011206,NORTH
111011207,NORTH
111011208,NORTH
111011209,NORTH
111011210,NORTH
111011211,NORTH
111011212,NORTH
111011213,NORTH
111011214,NORTH
111021215,NORTH
111021216,NORTH
111021217,NORTH
111021218,NORTH
111021219,NORTH
111021220,NORTH
111021221,NORTH
111031222,NORTH
111031223,NORTH
111031224,NORTH
111031225,NORTH
111031226,NORTH
111031227,NORTH
111031228,NORTH
111031229,NORTH
111031230,NORTH
111031231,NORTH
111031232,NORTH
111031233,NORTH
111031234,NORTH
111031235,NORTH
112011236,NORTH
112011237,NORTH
112011238,NORTH
112011239,NORTH
112011240,NORTH
112011241,NORTH
112011242,NORTH
112011243,NORTH
112021244,NORTH
112021245,NORTH
112021246,NORTH
112021247,NORTH
112021248,NORTH
112021249,NORTH
112031250,NORTH
112031251,NORTH
112031252,NORTH
112031253,NORTH
112031254,NORTH
112031550,NORTH
112031551,NORTH
112031552,NORTH
113011256,SOUTH
113011257,SOUTH
113011258,SOUTH
113011259,SOUTH
113021260,SOUTH
113021261,SOUTH
113021262,SOUTH
113031263,SOUTH
113031264,SOUTH
113031265,SOUTH
113031266,SOUTH
113031267,SOUTH
113031268,SOUTH
113031269,SOUTH
113031270,SOUTH
113031271,SOUTH
114011272,SOUTH
114011273,SOUTH
114011274,SOUTH
114011275,SOUTH
114011276,SOUTH
114011277,SOUTH
114011278,SOUTH
114011279,SOUTH
114011280,SOUTH
114011281,SOUTH
114011282,SOUTH
114011283,SOUTH
114021284,SOUTH
114021285,SOUTH
114021286,SOUTH
114021287,SOUTH
114021288,SOUTH
114021289,SOUTH
197979799,NORTH
