"LGA","SA2_CODE","Total_2016","Rate_Per_100k_2016","Rank_2016"
"Albury",109011172,284,544.3637,35
"Albury",109011176,284,544.3637,35
"Albury",109011173,284,544.3637,35
"Albury",109011174,284,544.3637,35
"Albury",109011175,284,544.3637,35
"Armidale Regional",110011186,152,501.435,41
"Armidale Regional",110011187,152,501.435,41
"Armidale Regional",110011188,152,501.435,41
"Armidale Regional",108021156,152,501.435,41
"Armidale Regional",110021192,152,501.435,41
"Ballina",112011236,109,253.5296,90
"Ballina",112011237,109,253.5296,90
"Ballina",112011242,109,253.5296,90
"Ballina",112021249,109,253.5296,90
"Balranald",109021179,5,0,0
"Bathurst Regional",103011058,186,440.2992,49
"Bathurst Regional",103011059,186,440.2992,49
"Bathurst Regional",103011060,186,440.2992,49
"Bathurst Regional",103031071,186,440.2992,49
"Bathurst Regional",103031074,186,440.2992,49
"Bayside",117011325,521,316.6519,72
"Bayside",117011322,521,316.6519,72
"Bayside",117011321,521,316.6519,72
"Bayside",117011323,521,316.6519,72
"Bayside",117011320,521,316.6519,72
"Bayside",119041377,521,316.6519,72
"Bayside",119041376,521,316.6519,72
"Bayside",119041382,521,316.6519,72
"Bayside",119041375,521,316.6519,72
"Bayside",119041381,521,316.6519,72
"Bayside",119041378,521,316.6519,72
"Bayside",119041380,521,316.6519,72
"Bega Valley",101041020,106,312.3066,73
"Bega Valley",101041027,106,312.3066,73
"Bega Valley",101041022,106,312.3066,73
"Bega Valley",101041019,106,312.3066,73
"Bega Valley",101041025,106,312.3066,73
"Bega Valley",101041023,106,312.3066,73
"Bega Valley",101031015,106,312.3066,73
"Bega Valley",101031013,106,312.3066,73
"Bellingen",104021083,36,277.9708,81
"Bellingen",104021090,36,277.9708,81
"Bellingen",104021087,36,277.9708,81
"Bellingen",108021159,36,277.9708,81
"Berrigan",109031185,15,174.2363,106
"Blacktown",116031314,2066,593.627,29
"Blacktown",116021312,2066,593.627,29
"Blacktown",116011304,2066,593.627,29
"Blacktown",116021563,2066,593.627,29
"Blacktown",116011303,2066,593.627,29
"Blacktown",116011307,2066,593.627,29
