iso3c,date,value
ARB,2017,6239.71393337992
CSS,2017,9448.2241394676
CEB,2017,14159.2324209466
EAR,2017,3513.22085198666
EAS,2017,10368.4839109101
EAP,2017,7126.3850769667
TEA,2017,7201.59424328624
EMU,2017,36870.1755319339
ECS,2017,23422.194367524
ECA,2017,7947.07977584175
TEC,2017,8487.00295771947
EUU,2017,33723.2706025215
FCS,2017,1608.79865815762
HPC,2017,970.63191209121
HIC,2017,41214.2808386577
IBD,2017,6043.38505302859
IBT,2017,4846.56030821367
IDB,2017,1734.02252092013
IDX,2017,1124.52356269764
IDA,2017,1325.64712122174
LTE,2017,8982.23900030213
LCN,2017,9274.78158062532
LAC,2017,8350.10841773426
TLA,2017,9111.80735833501
LDC,2017,1071.43807859869
LMY,2017,4662.15541323316
LIC,2017,785.581782647069
LMC,2017,2192.3189197598
MEA,2017,7372.26503407422
MNA,2017,3791.75356207395
TMN,2017,3799.8678976828
MIC,2017,5173.86015327344
NAC,2017,58070.0661365043
OED,2017,38151.3619367912
OSS,2017,13169.0817962443
PSS,2017,3995.44687217305
PST,2017,42526.4531352218
PRE,2017,1432.45423533456
SST,2017,11946.5849638274
SAS,2017,1842.25534872854
TSA,2017,1842.25534872854
SSF,2017,1573.60791556275
SSA,2017,1572.33843365298
TSS,2017,1573.60791556275
UMC,2017,8610.6524089461
WLD,2017,10721.6088483366
AFG,2017,550.068458763852
ALB,2017,4537.57905556422
DZA,2017,4055.24721109629
ASM,2017,11394.4752969932
AND,2017,39146.5488360906
AGO,2017,4100.28978571722
ATG,2017,14803.0109275452
ARG,2017,14398.3587709055
ARM,2017,3936.79831965287
ABW,2017,25655.1020217537
AUS,2017,53799.9380899599
AUT,2017,47290.9116498316
AZE,2017,4131.61831005055
BHS,2017,30762.0124392644
BHR,2017,23655.0356024013
BGD,2017,1516.51326956437
BRB,2017,16356.9801098282
BLR,2017,5727.51171766732
BEL,2017,43323.8073364711
BLZ,2017,4971.20163552462
BEN,2017,827.393679394667
BMU,2013,85748.0654143782
BTN,2017,3130.23354261776
BOL,2017,3393.95581751781
BIH,2017,5148.20851695939
BWA,2017,7595.6111411324
BRA,2017,9821.40768641008
BRN,2017,28290.5851955712
BGR,2017,8227.96040622035
BFA,2017,642.037148269037
BDI,2017,292.005210338326
CPV,2017,3244.40956093627
KHM,2017,1384.42318730336
CMR,2017,1451.86574665297
CAN,2017,45032.1199081697
CYM,2006,64103.2148101692
CAF,2017,418.411287036182
TCD,2017,662.50011455695
CHI,2007,73569.644964552
CHL,2017,15346.4496997595
CHN,2017,8826.99409574835
COL,2017,6408.92001169297
COM,2017,1312.3339253661
COD,2017,462.779544082555
COG,2017,1654.01032176396
CRI,2017,11677.2690372725
CIV,2017,1537.50403108704
HRV,2017,13382.7198464828
CUB,2017,8433.09269880212
CYP,2017,25233.570984591
CZE,2017,20368.1385576071
DNK,2017,56307.5082995258
DJI,2017,1927.58970569415
DMA,2017,6719.33716604667
DOM,2017,7052.25883896858
ECU,2017,6273.48889235625
EGY,2017,2412.72708185213
SLV,2017,3889.30876895407
GNQ,2017,9697.6302336089
ERI,2011,582.775530237486
EST,2017,19704.655040239
SWZ,2017,3242.75106472334
ETH,2017,767.563477815809
FRO,2015,50581.9684915586
FJI,2017,5589.38883340896
FIN,2017,45703.327865074
FRA,2017,38476.6586361575
PYF,2000,14530.7772043155
GAB,2017,7413.79520698305
GMB,2017,709.077157975436
GEO,2017,4057.28608116205
DEU,2017,44469.9090607244
GHA,2017,2046.10998628582
GRC,2017,18613.4238733817
GRL,2016,48159.6653203159
GRD,2017,10451.0298752265
GUM,2017,35675.7941654641
GTM,2017,4470.98957191189
GIN,2017,823.493715477397
GNB,2017,723.609411897261
GUY,2017,4655.14444757034
HTI,2017,765.683924629642
HND,2017,2480.12592858547
HKG,2017,46193.6145204282
HUN,2017,14224.8464577027
ISL,2017,70056.8733916213
IND,2017,1942.0974005834
IDN,2017,3846.86432330998
IRN,2017,5593.85378338148
IRQ,2017,5017.96806465347
IRL,2017,69330.6901544912
IMN,2016,78730.1622848186
ISR,2017,40270.2513460448
ITA,2017,31952.9759206841
JAM,2017,5114.04108078483
JPN,2017,38428.0973168279
JOR,2017,4129.75166443689
KAZ,2017,9030.3838888785
KEN,2017,1594.83492628749
KIR,2017,1594.29287043422
KOR,2017,29742.8388613471
XKX,2017,3957.44181912974
KWT,2017,29040.3637091117
KGZ,2017,1219.82404838204
LAO,2017,2457.37741397281
LVA,2017,15594.2860155406
LBN,2017,8808.58944759405
LSO,2017,1154.44424617304
LBR,2017,694.319582848856
LBY,2017,5978.04292565728
LIE,2016,164993.194162086
LTU,2017,16680.6780952339
LUX,2017,104103.036746518
MAC,2017,80892.8213291687
MDG,2017,449.722381894452
MWI,2017,338.484430340903
MYS,2017,9951.54415327241
MDV,2017,11151.069206829
MLI,2017,827.006400807465
MLT,2017,26903.8245211378
MHL,2017,3843.11988350106
MRT,2017,1136.76459079339
MUS,2017,10490.5039701879
MEX,2017,8910.33317708802
FSM,2017,3187.55684832866
MDA,2017,2289.87771873439
MCO,2016,168010.91489102
MNG,2017,3717.47338882896
MNE,2017,7782.83978966368
MAR,2017,3007.24287724321
MOZ,2017,426.221961866327
MMR,2017,1256.6606748179
NAM,2017,5230.77172599964
NRU,2017,8343.8279994234
NPL,2017,849.01104260427
NLD,2017,48223.1554941825
NCL,2000,12579.5951055864
NZL,2017,42940.5782879727
NIC,2017,2221.80644458727
NER,2017,378.059252303818
NGA,2017,1968.42552277442
MKD,2017,5414.61482263095
MNP,2017,28888.0023211954
NOR,2017,75504.5662551423
OMN,2017,15668.3666272179
PAK,2017,1547.85341366929
PLW,2017,13338.0965529937
PAN,2017,15196.3973399692
PNG,2017,2488.899696928
PRY,2017,5823.76613678902
PER,2017,6571.92864469964
PHL,2017,2988.95270335802
POL,2017,13863.1778820268
PRT,2017,21136.2972102005
PRI,2016,30518.1827789063
QAT,2017,63249.4224329057
ROU,2017,10817.833794118
RUS,2017,10743.0965915463
RWA,2017,748.292094303551
WSM,2017,4280.83891547136
SMR,2017,48888.0251667051
STP,2017,1921.28447293456
SAU,2017,20849.2913686605
SEN,2017,1329.30422834628
SRB,2017,5900.0381075126
SYC,2017,15629.3059375489
SLE,2017,499.529103314974
SGP,2017,57714.2966313778
SVK,2017,17604.950976993
SVN,2017,23597.2917255702
SLB,2017,2132.11506835431
SOM,2017,478.344174874274
ZAF,2017,6151.07795531285
SSD,2016,237.444118481
ESP,2017,28156.8158362352
LKA,2017,4073.73651945177
KNA,2017,17924.0654643767
LCA,2017,9715.194785938
VCT,2017,7145.07683689785
SDN,2017,2898.5493455104
SUR,2017,5317.38953875323
SWE,2017,53442.0082808022
CHE,2017,80189.6968607849
SYR,2007,2058.03520939435
TJK,2017,801.05087126751
TZA,2017,936.330767971897
THA,2017,6595.00412458017
TLS,2017,2279.25320357878
TGO,2017,610.151730130474
TON,2017,3959.07975653834
TTO,2017,16126.3709498173
TUN,2017,3464.41689038656
TUR,2017,10546.1525631603
TKM,2017,6586.625862686
TUV,2017,3549.97474128384
UGA,2017,606.468453487644
UKR,2017,2639.82432586795
ARE,2017,40698.8493360368
GBR,2017,39720.4434267836
USA,2017,59531.661964344
URY,2017,16245.5983677431
UZB,2017,1533.85203766488
VUT,2017,3123.61459082387
VEN,2014,15692.412877729
VNM,2017,2342.24400272117
VIR,2015,34899.2665490669
PSE,2017,3094.72574681783
YEM,2017,1106.80390649944
ZMB,2017,1513.27631610687
ZWE,2017,1333.39566279393
