"","SA2_CODE","Bicycle ","Bus ","Car, as driver ","Car, as passenger ","Ferry ","Motorbike/scooter ","Taxi ","Train ","Tram ","Truck ","Walked only "
"1","101021007",5,11,932,70,0,5,0,3,0,45,114
"2","101021008",19,37,3126,290,4,45,7,0,3,38,62
"3","101021009",54,112,4007,360,3,67,20,3,0,41,239
"4","101021010",20,41,1878,160,0,22,8,0,0,26,101
"5","101021011",24,37,6293,448,0,56,4,4,0,140,153
"6","101021012",42,40,5469,407,3,77,10,3,0,44,69
"7","101031013",0,3,674,46,0,4,0,0,0,29,61
"8","101031014",22,8,1899,193,0,13,9,3,0,34,203
"9","101031015",0,7,938,79,3,6,0,0,0,28,77
"10","101031016",29,30,2155,226,0,5,3,21,0,29,399
"11","101041017",14,6,1745,159,0,14,0,0,0,30,97
"12","101041018",16,25,1958,168,0,10,3,3,0,45,71
"13","101041019",25,12,2273,170,0,17,0,4,0,52,216
"14","101041020",9,22,2345,114,0,23,0,0,0,54,129
"15","101041021",22,3,851,57,0,7,0,0,0,24,41
"16","101041022",0,0,3,0,0,0,0,0,0,0,0
"17","101041023",3,4,759,54,0,0,3,0,0,19,73
"18","101041024",5,5,898,47,0,7,0,0,0,29,59
"19","101041025",16,12,2735,175,0,16,0,3,0,37,197
"20","101041026",20,20,1954,137,0,11,3,0,0,56,104
"21","101041027",11,8,1785,104,0,16,0,3,0,52,139
"22","101051539",26,53,6897,674,0,43,36,15,0,117,332
"23","101051540",9,14,3467,234,8,44,3,8,0,151,198
"24","101061541",4,37,1958,176,0,6,3,0,0,58,115
"25","101061542",9,40,3805,311,0,52,4,4,0,133,189
"26","101061543",7,6,2899,242,0,11,10,3,0,78,180
"27","101061544",5,13,1763,123,0,18,3,3,0,96,225
"28","102011028",5,18,2357,118,5,17,3,73,0,31,37
"29","102011029",11,17,2812,150,6,19,4,246,0,49,41
"30","102011030",0,3,1188,68,0,16,0,30,0,55,144
"31","102011031",23,37,3564,256,0,23,4,179,0,57,123
"32","102011032",32,157,5067,378,0,45,9,671,0,45,309
"33","102011033",9,29,2134,167,0,16,3,66,0,34,28
"34","102011034",9,23,1975,106,0,11,0,69,0,24,50
"35","102011035",6,33,2076,157,0,16,11,247,0,26,11
"36","102011036",8,19,2520,194,0,21,0,259,0,41,51
"37","102011037",17,32,1535,115,0,11,5,391,0,12,30
"38","102011038",5,37,2234,117,0,11,0,55,0,34,31
"39","102011039",17,58,4381,283,0,15,4,180,0,68,116
"40","102011040",41,128,5018,423,8,43,8,705,3,71,199
"41","102011041",13,41,3154,188,0,15,0,72,0,50,37
"42","102011042",26,56,2685,238,0,13,4,656,0,47,133
"43","102011043",10,71,2970,209,0,28,9,261,0,33,76
"44","102021044",27,125,6618,423,0,36,4,101,0,113,130
"45","102021045",3,40,3296,292,0,23,0,56,0,55,24
"46","102021046",8,27,2561,157,0,20,0,27,0,54,53
"47","102021047",34,51,5142,348,0,21,7,153,0,88,64
"48","102021048",24,103,5634,446,3,44,3,128,4,135,135
"49","102021049",0,3,1089,63,0,5,0,27,0,26,30
"50","102021050",3,24,2891,170,0,10,0,32,3,52,53
"51","102021051",5,9,1661,98,0,10,0,98,0,20,30
"52","102021052",0,19,1764,105,0,3,0,11,0,26,28
"53","102021053",22,144,3983,245,0,23,3,60,0,63,130
"54","102021054",5,27,2419,171,3,13,4,35,0,47,64
"55","102021055",8,17,1574,124,0,11,0,120,0,24,79
"56","102021056",12,55,4633,383,0,16,0,172,0,67,58
"57","102021057",7,24,2138,194,0,5,7,161,0,37,68
"58","103011058",58,28,7358,579,0,36,30,17,0,75,526
"59","103011059",23,19,3607,274,3,15,5,3,0,66,88
"60","103011060",3,9,2064,125,0,14,0,0,0,77,81
"61","103011061",4,3,1290,72,0,5,0,0,0,48,83
"62","103021062",6,27,1565,139,0,19,0,0,0,53,226
"63","103021063",12,3,2307,224,0,14,4,0,0,64,170
"64","103021064",5,3,1349,83,0,24,0,0,0,55,105
"65","103021065",14,22,2767,208,0,17,9,0,0,67,199
"66","103021066",6,10,765,56,0,9,0,0,0,25,105
"67","103021067",17,13,3027,297,0,17,25,0,0,51,202
"68","103021068",3,3,708,52,0,8,0,0,0,30,108
"69","103021069",12,61,1345,152,0,4,0,3,0,55,142
"70","103031070",25,12,3127,224,0,7,15,41,0,45,240
"71","103031071",4,13,2247,109,0,6,6,19,0,66,124
"72","103031072",22,6,3460,370,0,18,6,0,0,64,222
"73","103031073",0,7,650,49,0,7,0,0,0,19,57
"74","103031074",3,5,2515,153,0,33,0,9,0,85,190
"75","103031075",0,0,0,0,0,0,0,0,0,0,0
"76","103041076",3,14,2167,112,0,18,0,4,3,62,137
"77","103041077",57,44,5290,509,6,44,33,11,0,62,383
"78","103041078",32,26,6956,574,0,20,19,11,0,88,169
"79","103041079",5,12,3708,213,3,20,0,3,0,84,212
"80","104011080",120,22,4432,379,0,37,11,5,0,85,315
"81","104011081",8,25,3770,251,0,35,0,0,0,115,156
"82","104011082",51,24,3444,230,0,22,3,3,0,70,289
"83","104021083",20,3,1360,109,0,7,4,0,0,21,131
"84","104021084",73,37,4768,447,5,65,12,0,0,66,217
"85","104021085",52,31,2667,266,0,25,6,0,0,43,227
"86","104021086",3,3,1187,65,0,8,0,3,0,40,34
"87","104021087",4,10,629,52,0,7,0,0,0,27,91
"88","104021088",7,11,2919,183,0,17,3,5,0,54,69
"89","104021089",74,37,5731,452,0,63,9,3,0,80,182
"90","104021090",7,3,1215,71,0,10,0,0,0,25,53
"91","104021091",12,23,3399,394,3,28,0,0,0,68,128
"92","105011092",15,7,740,95,0,23,4,0,0,35,252
"93","105011093",18,9,1233,117,0,19,3,0,0,25,135
"94","105011094",4,7,892,67,0,13,0,0,0,16,113
"95","105011095",16,55,1249,87,0,15,0,0,0,40,159
"96","105011096",12,7,1182,131,0,10,0,0,0,41,263
"97","105021097",34,31,4836,415,5,48,9,3,0,36,321
"98","105021098",3,6,325,37,0,23,0,0,0,7,174
"99","105031099",5,17,1585,124,0,34,0,0,0,75,245
"100","105031100",20,20,3556,307,0,22,9,0,0,61,107
"101","105031101",57,30,5870,554,0,60,26,4,0,72,309
"102","105031102",17,16,2860,268,0,27,10,0,0,45,79
"103","105031103",3,7,1915,85,0,14,0,0,0,59,59
