SA2_CODE,SA2_NAME,IS_SYDNEY,IS_SUA,LAB_FORCE,UNEMPLOYED,PERC_DWELLING_FLAT,PERC_DWELLING_HOUSE,PERC_DWELLING_SEMI,PERC_DWELLING_OTHER,BORN_OVERSEAS_MOD,SEIFA_Edu_Occ_Index,SEIFA_Economic_Res_Index,SEIFA_Rel_SocioEco_Adv_Disadv_Index,SEIFA_Rel_SocioEco_Disadv_Index,ENG_PROFICIENT_MOD,LANG_HOME_ENGLISH_MOD,EDU_BACHELOR_MOD,EDU_POSTGRAD_MOD,EDU_CERTIFICATE_MOD,EDU_DIPLOMA_MOD,SEPARATED_MOD,DIVORCED_MOD,MARRIED_MOD,WIDOWED_MOD,PERC_HHOLD_SIZE_OVER_5,PERC_HHOLD_NON_FAM,MALES,FEMALES,ANCESTRY_BOTH_AUST,ANCESTRY_ONE_OS,ANCESTRY_BOTH_OS,ARRIVAL_LAST_20,ARRIVAL_20_50,ARRIVAL_OVER_50,INDIG_POP,PERC_OPEN_SPACE,COMMUTE_MED_DIST,COMMUTE_AVG_DIST,COMMUTE_CAR,COMMUTE_WALK,COMMUTE_BUS,COMMUTE_MOTORBIKE,COMMUTE_TRAIN,COMMUTE_BIKE,COMMUTE_OTHER,COMMUTE_PUBLIC_TRANS
109011172,Albury - East,0,1,7823,392,0.022661055357720946,0.8595014567821302,0.10942052444156684,0.008416963418582066,718.9337510606358,1018,1020,1020,1042,14591.597872201553,6917.184322172182,872.1156582468508,327.8092813785001,2990.110828274917,602.004895241825,166.45767247568696,465.6729978460936,2993.1744664186413,313.001697017166,0.0238499245852187,0.2794837980406933,3768.2749167808893,4054.725083219111,5629.435089093401,694.4246459108414,937.4732719796358,340.0638339533973,244.58044514065662,128.6728020364206,284.40774100907254,0.051623421400003935,7.6,10.9,6e3,198,20,45,3,54,32,23
109011176,Lavington,0,1,6397,585,0.03273040482342808,0.7339936836060867,0.21834625322997417,0.014929658340511054,795.8780305602717,872,907,878,896,11423.369439728353,5267.478777589135,332.33989813242783,116.86200339558575,2630.91558573854,357.5369100169779,232.4207130730051,584.3100169779287,2210.8205772495758,345.8072665534805,0.02229218071981622,0.38915334920095207,3088.8061120543293,3308.1938879456707,4291.7462139219015,464.8414261460102,997.8885568760611,427.04590831918506,202.44495755517826,149.00991511035653,472.6611884550085,0.17804537196627382,5.8,9.1,4715,124,42,27,0,42,38,42
109011173,Albury - North,0,1,4596,365,0.007690617446715007,0.8283893649747308,0.15622940013183917,0.007690617446715007,446.09316273490606,921,933,915,931,8186.337864854058,3860.4746101559376,328.4826069572171,128.63654538184727,1858.3386645341864,283.4598160735706,139.203118752499,376.72131147540983,1585.9048380647741,237.97760895641744,0.022797371597157032,0.3424087982832618,2251.598960415834,2344.4010395841665,3175.9444222311076,371.20831667333067,571.5137944822071,225.1139544182327,132.77129148340666,77.18192722910835,280.703318672531,0.08737663111876531,4.8,8.6,3386,94,34,25,6,39,24,40
109011174,Albury - South,0,1,4992,317,0.0711312902005297,0.656072644721907,0.26106696935300794,0.01172909572455543,552.6423357664233,1029,946,990,992,8740.43795620438,4078.2481751824816,617.5766423357665,295.24087591240874,1518.7153284671533,378.86131386861314,140.14598540145985,419.97080291970804,1780.3211678832117,319.53284671532845,0.01248499399759904,0.4160461205861158,2417.985401459854,2574.014598540146,3204.204379562044,454.0729927007299,696.5255474452555,263.00729927007296,171.91240875912408,110.24817518248175,228.43795620437956,0.3251324308416716,3.8,8.8,3408,326,23,16,5,72,38,28
109011175,Albury Region,0,0,5519,235,0.015694164989939637,0.9492957746478873,0.01448692152917505,0.020523138832997986,310.98234894772577,984,1031,984,1002,10187.950356415478,4993.046418873048,401.84164969450103,127.39035980991176,2083.20706042091,385.4495078071962,116.1500339443313,354.07026476578415,2401.214613034623,256.6541072640869,0.0386604284658951,0.25584543440807284,2773.08206042091,2745.91793957909,4225.4258316361165,402.77834351663273,412.61362864901565,97.88450441276308,130.6687881873727,77.74558723693144,298.33698234894774,0.10305179603308984,16.4,22,3569,228,16,19,4,19,57,20
110011186,Armidale,0,1,10515,876,0.06819101578308377,0.7907729664103602,0.12039660056657224,0.02063941723998381,1396.6801443145062,1028,947,982,984,18637.809156506595,8479.501119681514,1236.6484200049765,927.0502612590197,2883.6234137845236,605.6786514058224,267.73699925354566,651.0282408559343,3391.1899726300076,492.3046777805424,0.026571093122412407,0.35728851263671757,5039.473127643692,5475.526872356308,6797.205772580244,914.4047026623539,1647.8471012689724,913.9686489176413,324.42398606618565,133.43244588206022,1466.884797213237,0.03259037252434909,3.2,7.6,7034,535,47,67,11,109,91,58
110011187,Armidale Region - North,0,0,2151,105,0.023058823529411764,0.9388235294117647,0.01647058823529412,0.02164705882352941,114.67595436594998,977,1005,966,979,3926.8255813953488,1916.9289161913118,168.4745502413339,59.933523475208425,696.0783238262395,125.05813953488371,45.30408073716542,125.53005704256252,892.8679245283018,111.37253181219833,0.027683789603199015,0.2694077938017797,1088.7136902150066,1062.2863097849934,1678.1386573058357,125.53005704256252,148.65401491882403,54.27051338306274,50.9670908293111,17.932865291794645,245.86902150065816,0.1759817959139753,14.7,21.1,1262,106,6,27,0,9,31,6
110011188,Armidale Region - South,0,0,2875,140,0.02190051967334818,0.9487750556792873,0.006310319227913883,0.02301410541945063,183.2107843137255,1006,1012,984,1001,5296.2009803921565,2593.607026143791,271.0580065359477,137.17320261437908,1084.701797385621,207.63888888888889,73.2843137254902,225.0204248366013,1249.5915032679738,123.54983660130719,0.023451327433628318,0.28092613009922823,1398.9787581699347,1476.0212418300653,2145.9150326797385,230.65767973856208,236.76470588235293,52.61437908496732,84.55882352941177,47.916666666666664,381.92401960784315,0.013745445814490425,16.7,18.7,1910,112,3,26,3,15,25,6
108021156,Kempsey Region,0,0,3688,280,0.023673641936165717,0.9044599450433313,0.018812090467131684,0.05305432255337138,293.97394065476846,931,969,915,930,6670.139494142122,3258.345779043031,232.59476623234426,75.9163473119457,1584.5518449578453,224.92236942954125,139.71838388262347,398.96463374575717,1433.1229606919962,185.7527646994416,0.03005662843037607,0.31516381559872425,1900.331544946896,1787.6684550531043,2621.53684441038,300.0310960254024,373.92839154713675,68.24395050914268,146.1793496112997,81.5696923245374,506.3781889849995,0.32123234200543643,18.6,22.1,2300,171,17,9,0,19,31,17
120031393,Croydon Park - Enfield,1,1,8761,454,0.2683962979820968,0.4544075254134426,0.271279016841147,0.005917159763313609,3405.1086666666665,1051,1016,1046,1025,14479.012666666667,4000.3699444444446,1367.6894444444445,612.7832777777778,1974.6320555555556,635.1725,176.68016666666668,522.2529444444444,3473.2497777777776,378.1831666666667,0.03959895526160587,0.2598736842105263,4192.1385,4568.8615,2008.215888888889,964.6834444444445,5012.752166666667,1355.5213888888889,1483.5293333333334,433.6695,103.67183333333334,0.11276472513913022,10.1,10.5,4724,171,332,58,836,58,57,1168
