SA2_CODE,Parents_Born_Overseas,Parents_POB_Parent_Code,obsValue
102011028,Total,NA,7312
102011028,Both parents born overseas,TOT,1581
102011028,Father only born overseas,TOT,671
102011028,Mother only born overseas,TOT,453
102011028,Both parents born in Australia,TOT,4227
102011028,Not stated - birthplace for either or both parents not stated,TOT,381
102011029,Total,NA,10689
102011029,Both parents born overseas,TOT,1980
102011029,Father only born overseas,TOT,833
102011029,Mother only born overseas,TOT,626
102011029,Both parents born in Australia,TOT,6728
102011029,Not stated - birthplace for either or both parents not stated,TOT,525
102011030,Total,NA,4705
102011030,Both parents born overseas,TOT,988
102011030,Father only born overseas,TOT,313
102011030,Mother only born overseas,TOT,226
102011030,Both parents born in Australia,TOT,2671
102011030,Not stated - birthplace for either or both parents not stated,TOT,505
102011031,Total,NA,13953
102011031,Both parents born overseas,TOT,3285
102011031,Father only born overseas,TOT,1069
102011031,Mother only born overseas,TOT,754
102011031,Both parents born in Australia,TOT,7732
102011031,Not stated - birthplace for either or both parents not stated,TOT,1111
102011032,Total,NA,18803
102011032,Both parents born overseas,TOT,4918
102011032,Father only born overseas,TOT,1433
102011032,Mother only born overseas,TOT,999
102011032,Both parents born in Australia,TOT,10055
102011032,Not stated - birthplace for either or both parents not stated,TOT,1399
102011033,Total,NA,6385
102011033,Both parents born overseas,TOT,1450
102011033,Father only born overseas,TOT,521
102011033,Mother only born overseas,TOT,385
102011033,Both parents born in Australia,TOT,3607
102011033,Not stated - birthplace for either or both parents not stated,TOT,415
102011034,Total,NA,7313
102011034,Both parents born overseas,TOT,1367
102011034,Father only born overseas,TOT,606
102011034,Mother only born overseas,TOT,418
102011034,Both parents born in Australia,TOT,4568
102011034,Not stated - birthplace for either or both parents not stated,TOT,355
102011035,Total,NA,6642
102011035,Both parents born overseas,TOT,1453
102011035,Father only born overseas,TOT,531
102011035,Mother only born overseas,TOT,377
102011035,Both parents born in Australia,TOT,3991
102011035,Not stated - birthplace for either or both parents not stated,TOT,290
102011036,Total,NA,8029
102011036,Both parents born overseas,TOT,1606
102011036,Father only born overseas,TOT,687
102011036,Mother only born overseas,TOT,443
102011036,Both parents born in Australia,TOT,4931
102011036,Not stated - birthplace for either or both parents not stated,TOT,356
102011037,Total,NA,6206
102011037,Both parents born overseas,TOT,1485
102011037,Father only born overseas,TOT,537
102011037,Mother only born overseas,TOT,422
102011037,Both parents born in Australia,TOT,3485
102011037,Not stated - birthplace for either or both parents not stated,TOT,286
102011038,Total,NA,6984
102011038,Both parents born overseas,TOT,1113
102011038,Father only born overseas,TOT,552
102011038,Mother only born overseas,TOT,383
102011038,Both parents born in Australia,TOT,4570
102011038,Not stated - birthplace for either or both parents not stated,TOT,358
102011039,Total,NA,13347
102011039,Both parents born overseas,TOT,3126
102011039,Father only born overseas,TOT,1039
102011039,Mother only born overseas,TOT,802
102011039,Both parents born in Australia,TOT,7707
102011039,Not stated - birthplace for either or both parents not stated,TOT,669
102011040,Total,NA,23590
102011040,Both parents born overseas,TOT,4404
102011040,Father only born overseas,TOT,1784
102011040,Mother only born overseas,TOT,1195
102011040,Both parents born in Australia,TOT,14473
102011040,Not stated - birthplace for either or both parents not stated,TOT,1727
102011041,Total,NA,9757
102011041,Both parents born overseas,TOT,1664
102011041,Father only born overseas,TOT,793
102011041,Mother only born overseas,TOT,536
102011041,Both parents born in Australia,TOT,6282
102011041,Not stated - birthplace for either or both parents not stated,TOT,488
102011042,Total,NA,13924
102011042,Both parents born overseas,TOT,2801
102011042,Father only born overseas,TOT,1012
102011042,Mother only born overseas,TOT,691
102011042,Both parents born in Australia,TOT,8391
102011042,Not stated - birthplace for either or both parents not stated,TOT,1027
102011043,Total,NA,11436
102011043,Both parents born overseas,TOT,2478
102011043,Father only born overseas,TOT,880
102011043,Mother only born overseas,TOT,565
102011043,Both parents born in Australia,TOT,6549
102011043,Not stated - birthplace for either or both parents not stated,TOT,953
102021044,Total,NA,22008
102021044,Both parents born overseas,TOT,2995
102021044,Father only born overseas,TOT,1648
102021044,Mother only born overseas,TOT,1038
102021044,Both parents born in Australia,TOT,14760
102021044,Not stated - birthplace for either or both parents not stated,TOT,1577
102021045,Total,NA,11046
102021045,Both parents born overseas,TOT,1492
102021045,Father only born overseas,TOT,828
102021045,Mother only born overseas,TOT,550
102021045,Both parents born in Australia,TOT,7601
102021045,Not stated - birthplace for either or both parents not stated,TOT,577
102021046,Total,NA,9409
102021046,Both parents born overseas,TOT,1261
102021046,Father only born overseas,TOT,618
102021046,Mother only born overseas,TOT,420
102021046,Both parents born in Australia,TOT,6463
102021046,Not stated - birthplace for either or both parents not stated,TOT,647
102021047,Total,NA,15355
102021047,Both parents born overseas,TOT,2333
102021047,Father only born overseas,TOT,1227
102021047,Mother only born overseas,TOT,831
102021047,Both parents born in Australia,TOT,10197
102021047,Not stated - birthplace for either or both parents not stated,TOT,759
102021048,Total,NA,22109
102021048,Both parents born overseas,TOT,3357
102021048,Father only born overseas,TOT,1533
102021048,Mother only born overseas,TOT,1014
102021048,Both parents born in Australia,TOT,14290
102021048,Not stated - birthplace for either or both parents not stated,TOT,1923
102021049,Total,NA,3358
102021049,Both parents born overseas,TOT,503
102021049,Father only born overseas,TOT,257
102021049,Mother only born overseas,TOT,182
102021049,Both parents born in Australia,TOT,2103
102021049,Not stated - birthplace for either or both parents not stated,TOT,307
102021050,Total,NA,10728
102021050,Both parents born overseas,TOT,1491
102021050,Father only born overseas,TOT,725
102021050,Mother only born overseas,TOT,430
102021050,Both parents born in Australia,TOT,7421
102021050,Not stated - birthplace for either or both parents not stated,TOT,663
102021051,Total,NA,4855
102021051,Both parents born overseas,TOT,922
102021051,Father only born overseas,TOT,372
102021051,Mother only born overseas,TOT,328
102021051,Both parents born in Australia,TOT,3017
102021051,Not stated - birthplace for either or both parents not stated,TOT,226
102021052,Total,NA,5768
102021052,Both parents born overseas,TOT,823
102021052,Father only born overseas,TOT,374
102021052,Mother only born overseas,TOT,283
102021052,Both parents born in Australia,TOT,4026
102021052,Not stated - birthplace for either or both parents not stated,TOT,260
102021053,Total,NA,14941
102021053,Both parents born overseas,TOT,2379
102021053,Father only born overseas,TOT,1008
102021053,Mother only born overseas,TOT,720
102021053,Both parents born in Australia,TOT,9589
102021053,Not stated - birthplace for either or both parents not stated,TOT,1246
102021054,Total,NA,9773
102021054,Both parents born overseas,TOT,1328
102021054,Father only born overseas,TOT,629
102021054,Mother only born overseas,TOT,393
102021054,Both parents born in Australia,TOT,6398
102021054,Not stated - birthplace for either or both parents not stated,TOT,1016
102021055,Total,NA,5303
102021055,Both parents born overseas,TOT,1196
102021055,Father only born overseas,TOT,385
102021055,Mother only born overseas,TOT,283
102021055,Both parents born in Australia,TOT,3061
102021055,Not stated - birthplace for either or both parents not stated,TOT,372
102021056,Total,NA,15222
102021056,Both parents born overseas,TOT,3044
102021056,Father only born overseas,TOT,1172
102021056,Mother only born overseas,TOT,764
102021056,Both parents born in Australia,TOT,9514
102021056,Not stated - birthplace for either or both parents not stated,TOT,717
102021057,Total,NA,8822
102021057,Both parents born overseas,TOT,1659
102021057,Father only born overseas,TOT,621
102021057,Mother only born overseas,TOT,430
102021057,Both parents born in Australia,TOT,5429
102021057,Not stated - birthplace for either or both parents not stated,TOT,687
115011290,Total,NA,22944
115011290,Both parents born overseas,TOT,11716
115011290,Father only born overseas,TOT,1466
115011290,Mother only born overseas,TOT,1143
115011290,Both parents born in Australia,TOT,7774
115011290,Not stated - birthplace for either or both parents not stated,TOT,844
115011291,Total,NA,20066
115011291,Both parents born overseas,TOT,11204
115011291,Father only born overseas,TOT,1112
115011291,Mother only born overseas,TOT,904
115011291,Both parents born in Australia,TOT,6337
115011291,Not stated - birthplace for either or both parents not stated,TOT,508
115011294,Total,NA,6251
115011294,Both parents born overseas,TOT,2030
115011294,Father only born overseas,TOT,522
115011294,Mother only born overseas,TOT,313
115011294,Both parents born in Australia,TOT,3166
115011294,Not stated - birthplace for either or both parents not stated,TOT,225
115011296,Total,NA,12639
115011296,Both parents born overseas,TOT,7067
115011296,Father only born overseas,TOT,678
115011296,Mother only born overseas,TOT,545
115011296,Both parents born in Australia,TOT,4009
115011296,Not stated - birthplace for either or both parents not stated,TOT,343
115011553,Total,NA,7611
115011553,Both parents born overseas,TOT,4076
115011553,Father only born overseas,TOT,487
115011553,Mother only born overseas,TOT,355
115011553,Both parents born in Australia,TOT,2423
115011553,Not stated - birthplace for either or both parents not stated,TOT,270
115011554,Total,NA,5593
115011554,Both parents born overseas,TOT,2840
115011554,Father only born overseas,TOT,264
115011554,Mother only born overseas,TOT,184
115011554,Both parents born in Australia,TOT,1646
115011554,Not stated - birthplace for either or both parents not stated,TOT,668
115011555,Total,NA,11885
115011555,Both parents born overseas,TOT,5890
115011555,Father only born overseas,TOT,702
115011555,Mother only born overseas,TOT,558
115011555,Both parents born in Australia,TOT,4328
115011555,Not stated - birthplace for either or both parents not stated,TOT,405
115011556,Total,NA,9517
115011556,Both parents born overseas,TOT,4917
115011556,Father only born overseas,TOT,610
115011556,Mother only born overseas,TOT,457
115011556,Both parents born in Australia,TOT,3204
115011556,Not stated - birthplace for either or both parents not stated,TOT,326
115011557,Total,NA,5241
115011557,Both parents born overseas,TOT,3122
115011557,Father only born overseas,TOT,271
115011557,Mother only born overseas,TOT,199
115011557,Both parents born in Australia,TOT,1501
115011557,Not stated - birthplace for either or both parents not stated,TOT,143
115011558,Total,NA,18765
115011558,Both parents born overseas,TOT,11564
115011558,Father only born overseas,TOT,961
115011558,Mother only born overseas,TOT,731
115011558,Both parents born in Australia,TOT,4929
115011558,Not stated - birthplace for either or both parents not stated,TOT,582
115011559,Total,NA,23228
115011559,Both parents born overseas,TOT,11973
115011559,Father only born overseas,TOT,1519
115011559,Mother only born overseas,TOT,1060
115011559,Both parents born in Australia,TOT,7958
115011559,Not stated - birthplace for either or both parents not stated,TOT,718
115021297,Total,NA,21016
115021297,Both parents born overseas,TOT,6827
115021297,Father only born overseas,TOT,1633
115021297,Mother only born overseas,TOT,1181
115021297,Both parents born in Australia,TOT,10302
115021297,Not stated - birthplace for either or both parents not stated,TOT,1066
115021298,Total,NA,5210
115021298,Both parents born overseas,TOT,1321
115021298,Father only born overseas,TOT,502
115021298,Mother only born overseas,TOT,350
115021298,Both parents born in Australia,TOT,2802
115021298,Not stated - birthplace for either or both parents not stated,TOT,235
115031299,Total,NA,2692
115031299,Both parents born overseas,TOT,466
115031299,Father only born overseas,TOT,176
115031299,Mother only born overseas,TOT,144
115031299,Both parents born in Australia,TOT,1498
115031299,Not stated - birthplace for either or both parents not stated,TOT,400
115031300,Total,NA,21900
115031300,Both parents born overseas,TOT,3791
115031300,Father only born overseas,TOT,1693
115031300,Mother only born overseas,TOT,1157
115031300,Both parents born in Australia,TOT,13825
115031300,Not stated - birthplace for either or both parents not stated,TOT,1427
115041301,Total,NA,10528
115041301,Both parents born overseas,TOT,2087
115041301,Father only born overseas,TOT,854
115041301,Mother only born overseas,TOT,547
115041301,Both parents born in Australia,TOT,6482
115041301,Not stated - birthplace for either or both parents not stated,TOT,552
115041302,Total,NA,22652
115041302,Both parents born overseas,TOT,10505
115041302,Father only born overseas,TOT,1614
115041302,Mother only born overseas,TOT,1123
115041302,Both parents born in Australia,TOT,8637
115041302,Not stated - birthplace for either or both parents not stated,TOT,781
116011303,Total,NA,16921
116011303,Both parents born overseas,TOT,10806
116011303,Father only born overseas,TOT,719
116011303,Mother only born overseas,TOT,518
116011303,Both parents born in Australia,TOT,3787
116011303,Not stated - birthplace for either or both parents not stated,TOT,1087
116011304,Total,NA,18023
116011304,Both parents born overseas,TOT,10185
116011304,Father only born overseas,TOT,971
116011304,Mother only born overseas,TOT,667
116011304,Both parents born in Australia,TOT,5411
116011304,Not stated - birthplace for either or both parents not stated,TOT,791
116011306,Total,NA,22530
116011306,Both parents born overseas,TOT,15249
116011306,Father only born overseas,TOT,927
116011306,Mother only born overseas,TOT,655
116011306,Both parents born in Australia,TOT,4646
116011306,Not stated - birthplace for either or both parents not stated,TOT,1046
116011307,Total,NA,24879
116011307,Both parents born overseas,TOT,10090
116011307,Father only born overseas,TOT,1847
116011307,Mother only born overseas,TOT,1175
116011307,Both parents born in Australia,TOT,10407
116011307,Not stated - birthplace for either or both parents not stated,TOT,1355
116011308,Total,NA,23921
116011308,Both parents born overseas,TOT,14279
116011308,Father only born overseas,TOT,1097
116011308,Mother only born overseas,TOT,812
116011308,Both parents born in Australia,TOT,6420
116011308,Not stated - birthplace for either or both parents not stated,TOT,1307
116011560,Total,NA,12322
116011560,Both parents born overseas,TOT,7533
116011560,Father only born overseas,TOT,629
116011560,Mother only born overseas,TOT,437
116011560,Both parents born in Australia,TOT,3063
116011560,Not stated - birthplace for either or both parents not stated,TOT,657
116011561,Total,NA,16156
116011561,Both parents born overseas,TOT,10013
116011561,Father only born overseas,TOT,767
116011561,Mother only born overseas,TOT,518
116011561,Both parents born in Australia,TOT,4018
116011561,Not stated - birthplace for either or both parents not stated,TOT,838
116021309,Total,NA,16130
116021309,Both parents born overseas,TOT,10535
116021309,Father only born overseas,TOT,784
116021309,Mother only born overseas,TOT,609
116021309,Both parents born in Australia,TOT,3835
116021309,Not stated - birthplace for either or both parents not stated,TOT,357
116021310,Total,NA,32645
116021310,Both parents born overseas,TOT,18728
116021310,Father only born overseas,TOT,1831
116021310,Mother only born overseas,TOT,1350
116021310,Both parents born in Australia,TOT,8481
116021310,Not stated - birthplace for either or both parents not stated,TOT,2250
116021312,Total,NA,17312
116021312,Both parents born overseas,TOT,7344
116021312,Father only born overseas,TOT,1037
116021312,Mother only born overseas,TOT,792
116021312,Both parents born in Australia,TOT,6931
116021312,Not stated - birthplace for either or both parents not stated,TOT,1208
116021562,Total,NA,3793
116021562,Both parents born overseas,TOT,2238
116021562,Father only born overseas,TOT,184
116021562,Mother only born overseas,TOT,162
116021562,Both parents born in Australia,TOT,1085
116021562,Not stated - birthplace for either or both parents not stated,TOT,126
