SA2_CODE,obsValue,ARR_BAND
102011028,1288,Total
102011028,3,Arrived 1900 - 1945
102011028,59,Arrived 1946 - 1955
102011028,115,Arrived 1956 - 1965
102011028,173,Arrived 1966 - 1975
102011028,147,Arrived 1976 - 1985
102011028,128,Arrived 1986 - 1995
102011028,233,Arrived 1996 - 2005
102011028,386,Arrived 2006 - 2015
102011028,14,Arrived 1 Jan 2016 - 9 August 2016
102011028,30,Not stated
102011029,1621,Total
102011029,14,Arrived 1900 - 1945
102011029,141,Arrived 1946 - 1955
102011029,180,Arrived 1956 - 1965
102011029,317,Arrived 1966 - 1975
102011029,219,Arrived 1976 - 1985
102011029,176,Arrived 1986 - 1995
102011029,248,Arrived 1996 - 2005
102011029,289,Arrived 2006 - 2015
102011029,8,Arrived 1 Jan 2016 - 9 August 2016
102011029,34,Not stated
102011030,708,Total
102011030,0,Arrived 1900 - 1945
102011030,48,Arrived 1946 - 1955
102011030,116,Arrived 1956 - 1965
102011030,128,Arrived 1966 - 1975
102011030,98,Arrived 1976 - 1985
102011030,90,Arrived 1986 - 1995
102011030,92,Arrived 1996 - 2005
102011030,89,Arrived 2006 - 2015
102011030,15,Arrived 1 Jan 2016 - 9 August 2016
102011030,29,Not stated
102011031,2740,Total
102011031,16,Arrived 1900 - 1945
102011031,214,Arrived 1946 - 1955
102011031,304,Arrived 1956 - 1965
102011031,494,Arrived 1966 - 1975
102011031,289,Arrived 1976 - 1985
102011031,344,Arrived 1986 - 1995
102011031,422,Arrived 1996 - 2005
102011031,530,Arrived 2006 - 2015
102011031,23,Arrived 1 Jan 2016 - 9 August 2016
102011031,102,Not stated
102011032,3988,Total
102011032,18,Arrived 1900 - 1945
102011032,155,Arrived 1946 - 1955
102011032,293,Arrived 1956 - 1965
102011032,515,Arrived 1966 - 1975
102011032,370,Arrived 1976 - 1985
102011032,457,Arrived 1986 - 1995
102011032,681,Arrived 1996 - 2005
102011032,1279,Arrived 2006 - 2015
102011032,77,Arrived 1 Jan 2016 - 9 August 2016
102011032,130,Not stated
102011033,1120,Total
102011033,0,Arrived 1900 - 1945
102011033,44,Arrived 1946 - 1955
102011033,79,Arrived 1956 - 1965
102011033,143,Arrived 1966 - 1975
102011033,143,Arrived 1976 - 1985
102011033,214,Arrived 1986 - 1995
102011033,232,Arrived 1996 - 2005
102011033,206,Arrived 2006 - 2015
102011033,3,Arrived 1 Jan 2016 - 9 August 2016
102011033,52,Not stated
102011034,1108,Total
102011034,18,Arrived 1900 - 1945
102011034,97,Arrived 1946 - 1955
