"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2016","2016",248,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","A","Annual","2016","2016",224,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2016","2016",299,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","A","Annual","2016","2016",290,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2016","2016",123,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","A","Annual","2016","2016",102,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2016","2016",384,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011031","Erina - Green Point","A","Annual","2016","2016",324,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2016","2016",655,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","A","Annual","2016","2016",558,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2016","2016",243,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011033","Kariong","A","Annual","2016","2016",241,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2016","2016",199,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","A","Annual","2016","2016",215,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2016","2016",233,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011035","Narara","A","Annual","2016","2016",231,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2016","2016",281,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","A","Annual","2016","2016",258,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2016","2016",188,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","A","Annual","2016","2016",191,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2016","2016",261,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","A","Annual","2016","2016",238,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2016","2016",417,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","A","Annual","2016","2016",391,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2016","2016",759,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","A","Annual","2016","2016",662,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2016","2016",355,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","A","Annual","2016","2016",326,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2016","2016",405,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","A","Annual","2016","2016",380,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2016","2016",389,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102011043","Wyoming","A","Annual","2016","2016",348,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2016","2016",766,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","A","Annual","2016","2016",723,,
"ERP","Estimated Resident Population","1","Males","A04","0 - 4","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2016","2016",484,,
"ERP","Estimated Resident Population","2","Females","A04","0 - 4","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","A","Annual","2016","2016",422,,
