SA2_CODE,LFSP_C16,obsValue
407031163,UEMP,40
407031163,LF,814
407031164,UEMP,161
407031164,LF,2509
407031165,UEMP,731
407031165,LF,7600
407031166,UEMP,96
407031166,LF,1855
407031167,UEMP,188
407031167,LF,1859
407031168,UEMP,112
407031168,LF,2515
407031169,UEMP,118
407031169,LF,2418
407031170,UEMP,152
407031170,LF,2836
497979799,UEMP,0
497979799,LF,3
502011021,UEMP,328
502011021,LF,3083
502011022,UEMP,405
502011022,LF,3888
502011023,UEMP,496
502011023,LF,3849
502011024,UEMP,774
502011024,LF,8117
502011025,UEMP,522
502011025,LF,3706
502011026,UEMP,253
502011026,LF,2457
502011027,UEMP,812
502011027,LF,8530
502011028,UEMP,480
502011028,LF,3922
502011029,UEMP,377
502011029,LF,4015
503011030,UEMP,165
503011030,LF,3081
503011031,UEMP,232
503011031,LF,3792
503011032,UEMP,177
503011032,LF,3797
503011033,UEMP,208
503011033,LF,4052
503011034,UEMP,293
503011034,LF,5047
503011035,UEMP,778
503011035,LF,8730
503011036,UEMP,207
503011036,LF,4187
503021037,UEMP,0
503021037,LF,8
503021038,UEMP,354
503021038,LF,6267
503021039,UEMP,566
503021039,LF,9462
503021040,UEMP,286
503021040,LF,5035
503021041,UEMP,1534
503021041,LF,18979
503021042,UEMP,503
503021042,LF,8679
503021043,UEMP,674
503021043,LF,9905
504011044,UEMP,621
504011044,LF,7865
504011045,UEMP,881
504011045,LF,12453
504011046,UEMP,586
504011046,LF,7648
504011047,UEMP,981
504011047,LF,11215
504011048,UEMP,309
504011048,LF,4089
504021049,UEMP,100
504021049,LF,1480
504021050,UEMP,211
504021050,LF,3628
504021051,UEMP,204
504021051,LF,2866
504021052,UEMP,0
504021052,LF,4
504021053,UEMP,415
504021053,LF,6529
504021054,UEMP,561
504021054,LF,5928
504031055,UEMP,0
504031055,LF,7
504031056,UEMP,897
504031056,LF,9981
504031057,UEMP,782
504031057,LF,9069
504031058,UEMP,172
504031058,LF,2640
504031059,UEMP,1483
504031059,LF,18870
504031060,UEMP,80
504031060,LF,1477
504031061,UEMP,155
504031061,LF,2223
504031062,UEMP,450
504031062,LF,5493
504031063,UEMP,0
504031063,LF,3
504031064,UEMP,0
504031064,LF,0
504031065,UEMP,258
504031065,LF,2675
