School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Abbotsford Public School,Abbotsford,2046,Coed,Primary School,-33.852728,151.131206,120011386
Aberdeen Public School,Aberdeen,2336,Coed,Primary School,-32.166098,150.888095,106041129
Abermain Public School,Abermain,2326,Coed,Primary School,-32.80892,151.426499,106011111
Adaminaby Public School,ADAMINABY,2629,Coed,Primary School,-35.993292,148.776721,101031015
Adamstown Public School,Adamstown,2289,Coed,Primary School,-32.932213,151.730971,111031222
Adelong Public School,Adelong,2729,Coed,Primary School,-35.312333,148.062802,113021262
Albion Park Public School,Albion Park,2527,Coed,Primary School,-34.570257,150.77262,107031136
Timbumburi Public School,Timbumburi,2340,Coed,Primary School,-31.203781,150.915629,110041205
Albury Public School,Albury,2640,Coed,Primary School,-36.082454,146.919253,109011174
Albury West Public School,Albury,2640,Coed,Primary School,-36.07783,146.895548,109011174
Alma Public School,Broken Hill,2880,Coed,Primary School,-31.982217,141.462443,105021097
Alstonville Public School,Alstonville,2477,Coed,Primary School,-28.838471,153.438172,112011237
Anna Bay Public School,Anna Bay,2316,Coed,Primary School,-32.77637,152.089912,106031119
Annandale Public School,Annandale,2038,Coed,Primary School,-33.885782,151.169599,120021388
Annandale North Public School,Annandale,2038,Coed,Primary School,-33.877905,151.171835,120021388
Appin Public School,APPIN,2560,Coed,Primary School,-34.198417,150.78766,123031446
Arcadia Public School,ARCADIA,2159,Coed,Primary School,-33.623487,151.051031,115021298
Ardlethan Central School,Ardlethan,2665,Coed,Central/Community School,-34.354098,146.900557,113031266
Ariah Park Central School,Ariah Park,2665,Coed,Central/Community School,-34.346925,147.218018,113031266
Armidale City Public School,Armidale,2350,Coed,Primary School,-30.519501,151.664056,110011186
Drummond Memorial Public School,ARMIDALE,2350,Coed,Primary School,-30.511469,151.650715,110011186
Artarmon Public School,Artarmon,2064,Coed,Primary School,-33.811249,151.186001,121011398
Ashbury Public School,Ashbury,2193,Coed,Primary School,-33.898833,151.11944,120031392
Ashfield Public School,Ashfield,2131,Coed,Primary School,-33.889723,151.12821,120031390
Ashford Central School,Ashford,2361,Coed,Central/Community School,-29.321262,151.094638,110021192
Asquith Public School,Asquith,2077,Coed,Primary School,-33.685729,151.112177,121021403
Attunga Public School,Attunga,2345,Coed,Primary School,-30.930445,150.846575,110041205
Auburn North Public School,Auburn,2144,Coed,Primary School,-33.841669,151.038618,125011583
Auburn West Public School,Auburn,2144,Coed,Primary School,-33.860931,151.019764,125011584
Austinmer Public School,Austinmer,2515,Coed,Primary School,-34.305398,150.934991,107041148
Austral Public School,AUSTRAL,2179,Coed,Primary School,-33.934487,150.812638,127011505
Avoca Public School,Avoca,2577,Coed,Primary School,-34.612697,150.479766,114021288
Avoca Beach Public School,Avoca Beach,2251,Coed,Primary School,-33.471154,151.430745,102011028
Awaba Public School,Awaba,2283,Coed,Primary School,-33.010554,151.538068,111021219
Colo Vale Public School,Colo Vale,2575,Coed,Primary School,-34.401281,150.476178,114021285
Bald Blair Public School,Guyra,2365,Coed,Primary School,-30.229893,151.785056,110011187
Seaforth Public School,Seaforth,2092,Coed,Primary School,-33.793262,151.251235,122011418
Balgownie Public School,Balgownie,2519,Coed,Primary School,-34.386984,150.872076,107041144
Ballimore Public School,Ballimore,2830,Coed,Primary School,-32.193596,148.899631,105031103
Ballina Public School,Ballina,2478,Coed,Primary School,-28.869724,153.563707,112011236
Balranald Central School,Balranald,2715,Coed,Central/Community School,-34.635575,143.564769,109021179
Bangalow Public School,Bangalow,2479,Coed,Primary School,-28.68554,153.525743,112011238
Banksmeadow Public School,Botany,2019,Coed,Primary School,-33.953739,151.20661,117011321
