"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SECTOR_EDU","EXPENDITURE_TYPE","SOURCE_FUND","FUND_FLOW","TEACH_EXPERIENCE","CONTRACT_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","UNIT_MULT","FREQ","DECIMALS","OBS_STATUS"
"1","XUNIT","PPP","L3","_T","_T","CUR","GOV","FFNTP","_Z","_Z","CO","2016","1402.08389","0","A","5","A"
"2","XUNIT","PPP","L3","_T","_T","CUR","GOV","FFNTP","_Z","_Z","CO","2017","1735.94546","0","A","5","A"
"3","EDU_EXP","USD","L3","_T","_T","_T","GOV","_T","_Z","_Z","OM","2016","738.50154","0","A","5","A"
"4","EDU_EXP","USD","L3","_T","_T","_T","GOV","_T","_Z","_Z","OM","2017","804.34419","0","A","5","A"
"5","XUNIT","USD","L5T8","_T","_T","_T","GOV","FFNTP","_Z","_Z","BF","2016","2051.67919","0","A","5","A"
"6","EDU_EXP","GOV_EXP_T","L3","_T","_T","_T","GOV","_T","_Z","_Z","CO","2016","1.38478","0","A","5","A"
"7","EDU_EXP","GOV_EXP_T","L3","_T","_T","_T","GOV","_T","_Z","_Z","CO","2017","1.61849","0","A","5","A"
"8","EDU_EXP","USD","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","SC","2016","13.63089","0","A","5","A"
"9","EDU_EXP","GOV_EXP_EDU","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","CO","2016","22.97659","0","A","5","A"
"10","EDU_EXP","GOV_EXP_EDU","L5T8","_T","_T","_T","GOV","_T","_Z","_Z","CO","2017","18.47065","0","A","5","A"
"11","XUNIT","PPP_CONST","L2_3","_T","_T","_T","GOV","FFNTR","_Z","_Z","WS","2016","771.42682","0","A","5","A"
"12","XUNIT","USD","L4","_T","_T","_T","GOV","FFNTP","_Z","_Z","JM","2016","1758.00046","0","A","5","A"
"13","XUNIT","USD","L4","_T","_T","_T","GOV","FFNTP","_Z","_Z","JM","2017","1635.42395","0","A","5","A"
"14","EDU_EXP","GOV_EXP_EDU","L4","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","JO","2016","0","0","A","5","Z"
"15","EDU_EXP","GOV_EXP_EDU","L4","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","JO","2017","0","0","A","5","Z"
"16","EDU_EXP","USD","_T","_T","_T","_T","GOV","_T","_Z","_Z","KE","2016","3432.49894","0","A","5","E"
"17","EDU_EXP","USD","_T","_T","_T","_T","GOV","_T","_Z","_Z","KE","2017","3713.14319","0","A","5","E"
"18","XUNIT","GDP_CAP","L02","_T","_T","CUR","GOV","FFNTP","_Z","_Z","PE","2016","9.14147","0","A","5","A"
"19","XUNIT","GDP_CAP","L02","_T","_T","CUR","GOV","FFNTP","_Z","_Z","PE","2017","9.62031","0","A","5","A"
"20","EDU_EXP","GDP","L5T8","_T","_T","_T","GOV","FFNTR","_Z","_Z","RS","2016","1.11631","0","A","5","A"
"21","EDU_EXP","PPP_CONST","L1","_T","_T","_T","GOV","_T","_Z","_Z","BB","2016","75.10336","0","A","5","A"
"22","EDU_EXP","GOV_EXP_T","L02","_T","_T","_T","GOV","_T","_Z","_Z","MY","2016","0.70302","0","A","5","A"
"23","EDU_EXP","GOV_EXP_T","L02","_T","_T","_T","GOV","_T","_Z","_Z","MY","2017","0.67359","0","A","5","A"
"24","EDU_EXP","USD_CONST","L3","_T","_T","_T","GOV","_T","_Z","_Z","MW","2016","21.93702","0","A","5","A"
"25","EDU_EXP","GOV_EXP_EDU","_X","_T","_T","_T","GOV","_T","_Z","_Z","BZ","2016","10.44623","0","A","5","A"
"26","EDU_EXP","GOV_EXP_EDU","_X","_T","_T","_T","GOV","_T","_Z","_Z","BZ","2017","11.69168","0","A","5","A"
"27","EDU_EXP","GDP","L02","_T","_T","_T","GOV","FFNTR","_Z","_Z","SN","2016","0.02989","0","A","5","A"
"28","EDU_EXP","EXP_T","L3","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","OM","2016","26.93322","0","A","5","A"
"29","EDU_EXP","EXP_T","L3","_T","INST_PUB","CUR_COMPO","GOV","FFNTP","_Z","_Z","OM","2017","14.43300","0","A","5","A"
"30","EDU_EXP","GOV_EXP_EDU","_X","_T","_T","_T","GOV","_T","_Z","_Z","MV","2016","0","0","A","5","A"
"31","XUNIT","GDP_CAP","L1","_T","_T","_T","GOV","FFNTP","_Z","_Z","PE","2016","11.81713","0","A","5","A"
"32","XUNIT","GDP_CAP","L1","_T","_T","_T","GOV","FFNTP","_Z","_Z","PE","2017","11.92453","0","A","5","A"
"33","EDU_EXP","GNI","L02","_T","_T","CUR","GOV","_T","_Z","_Z","LK","2016","0","0","A","5","A"
"34","EDU_EXP","GNI","L02","_T","_T","CUR","GOV","_T","_Z","_Z","LK","2017","0","0","A","5","A"
"35","EDU_EXP","USD","L02","_T","_T","_T","GOV","_T","_Z","_Z","GB","2016","7261.95811","0","A","5","A"
"36","EDU_EXP","PPP","L02","_T","_T","_T","GOV","_T","_Z","_Z","CR","2016","330.42989","0","A","5","A"
"37","EDU_EXP","PPP","L02","_T","_T","_T","GOV","_T","_Z","_Z","CR","2017","372.07221","0","A","5","A"
"38","EDU_EXP","CUR_EXP","L3","_T","INST_PUB","CUR_COMP","GOV","FFNTP","_Z","_Z","CH","2016","87.81380","0","A","5","A"
"39","XUNIT","PPP","L3","_T","_T","_T","GOV","FFNTR","_Z","_Z","GT","2016","323.04042","0","A","5","A"
"40","XUNIT","PPP","L3","_T","_T","_T","GOV","FFNTR","_Z","_Z","GT","2017","322.71453","0","A","5","A"
"41","EDU_EXP","GOV_EXP_T","_T","_T","_T","_T","GOV","_T","_Z","_Z","KZ","2016","13.86969","0","A","5","A"
"42","EDU_EXP","GOV_EXP_T","_T","_T","_T","_T","GOV","_T","_Z","_Z","KZ","2017","11.42150","0","A","5","A"
"43","XUNIT","PPP","L02","_T","_T","_T","GOV","FFNTR","_Z","_Z","BY","2017","6097.81072","0","A","5","A"
"44","XUNIT","PPP","L1","_T","_T","_T","GOV","FFNTP","_Z","_Z","MR","2016","405.27595","0","A","5","A"
"45","EDU_EXP","GDP","L2_3","_T","_T","_T","GOV","_T","_Z","_Z","PK","2016","0.72204","0","A","5","A"
"46","XUNIT","USD","L1","_T","_T","_T","GOV","FFNTR","_Z","_Z","GT","2016","458.92359","0","A","5","A"
"47","XUNIT","USD","L1","_T","_T","_T","GOV","FFNTR","_Z","_Z","GT","2017","508.24421","0","A","5","A"
"48","XUNIT","USD","L2","_T","_T","_T","GOV","FFNTR","_Z","_Z","BZ","2016","1134.43719","0","A","5","A"
"49","XUNIT","USD","L2","_T","_T","_T","GOV","FFNTR","_Z","_Z","BZ","2017","1173.61413","0","A","5","A"
"50","EDU_EXP","GDP","L1","_T","_T","_T","GOV","FFNTR","_Z","_Z","ML","2016","1.21636","0","A","5","A"
"51","XUNIT","PPP_CONST","L2_3","_T","_T","CUR","GOV","FFNTP","_Z","_Z","GT","2016","385.68627","0","A","5","A"
"52","XUNIT","PPP_CONST","L2_3","_T","_T","CUR","GOV","FFNTP","_Z","_Z","GT","2017","375.21294","0","A","5","A"
"53","EDU_EXP","USD_CONST","_X","_T","_T","_T","GOV","_T","_Z","_Z","CH","2016","569.82611","0","A","5","A"
"54","EDU_EXP","GOV_EXP_EDU","L5T8","_T","_T","CUR_TRF","GOV","_T","_Z","_Z","SN","2016","88.17593","0","A","5","A"
"55","EDU_EXP","PPP","_X","_T","_T","_T","GOV","_T","_Z","_Z","MV","2016","0","0","A","5","A"
"56","EDU_EXP","USD_CONST","L02","_T","_T","_T","GOV","_T","_Z","_Z","BN","2016","4.22494","0","A","5","A"
"57","EDU_EXP","USD","_X","_T","_T","_T","GOV","_T","_Z","_Z","CL","2016","0","0","A","5","A"
"58","EDU_EXP","PPP","L4","_T","_T","_T","GOV","_T","_Z","_Z","AF","2016","84.21514","0","A","5","A"
"59","EDU_EXP","PPP","L4","_T","_T","_T","GOV","_T","_Z","_Z","AF","2017","52.53375","0","A","5","A"
"60","EDU_EXP","GDP","L1","_T","_T","_T","GOV","_T","_Z","_Z","GT","2016","1.57122","0","A","5","A"
"61","EDU_EXP","GDP","L1","_T","_T","_T","GOV","_T","_Z","_Z","GT","2017","1.57868","0","A","5","A"
"62","EDU_EXP","GOV_EXP_EDU","_X","_T","_T","_T","GOV","_T","_Z","_Z","SL","2016","0","0","A","5","A"
"63","EDU_EXP","GOV_EXP_EDU","_X","_T","_T","_T","GOV","_T","_Z","_Z","SL","2017","0","0","A","5","A"
