"","STAT_UNIT","UNIT_MEASURE","EDU_LEVEL","EDU_CAT","SEX","AGE","GRADE","SECTOR_EDU","EDU_ATTAIN","SUBJECT","DISPERSION","CONTRACT_TYPE","BASIC_SERVICES","EDU_TYPE","TEACH_EXPERIENCE","TEXTB_TYPE","CLASS_TYPE","REF_AREA","TIME_PERIOD","OBS_VALUE","FREQ","UNIT_MULT","DECIMALS","OBS_STATUS"
"1","AVG_CLS","GR","L1","_T","_T","_T","_T","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","MULTI_GRADE","GM","2016","2.13934","A","0","5","A"
"2","AVG_CLS","PER","L1","_T","_T","_T","_T","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","_T","GM","2016","39.40221","A","0","5","A"
"3","AVG_CLS","PER","L1","_T","_T","_T","_T","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","MULTI_GRADE","GM","2016","28.99180","A","0","5","A"
"4","AVG_CLS","PER","L1","_T","_T","_T","_T","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","DJ","2016","42.53803","A","0","5","A"
"5","AVG_CLS","PER","L1","_T","_T","_T","_T","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","GM","2016","39.63347","A","0","5","A"
"6","AVG_CLS","PER","L1","_T","_T","_T","G1","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","DJ","2016","43.37850","A","0","5","A"
"7","AVG_CLS","PER","L1","_T","_T","_T","G1","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","GM","2016","43.50676","A","0","5","A"
"8","AVG_CLS","PER","L1","_T","_T","_T","G2","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","DJ","2016","42.17181","A","0","5","A"
"9","AVG_CLS","PER","L1","_T","_T","_T","G2","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","GM","2016","40.55816","A","0","5","A"
"10","AVG_CLS","PER","L1","_T","_T","_T","G3","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","DJ","2016","41.84774","A","0","5","A"
"11","AVG_CLS","PER","L1","_T","_T","_T","G3","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","GM","2016","39.62910","A","0","5","A"
"12","AVG_CLS","PER","L1","_T","_T","_T","G4","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","DJ","2016","43.62613","A","0","5","A"
"13","AVG_CLS","PER","L1","_T","_T","_T","G4","INST_PUB","_Z","_Z","_Z","_Z","_T","_T","_Z","_T","SINGLE_GRADE","GM","2016","38.38328","A","0","5","A"
