"iso3c","date","value"
"ARB","2017",16955.4360181289
"CSS","2017",15775.6232482587
"CEB","2017",28991.9521632533
"EAR","2017",9684.22999963023
"EAS","2017",18140.7016666679
"EAP","2017",14905.6383742522
"TEA","2017",15063.0938529932
"EMU","2017",43654.0058520452
"ECS","2017",32662.2849620933
"ECA","2017",20565.5048152144
"TEC","2017",21327.1234869012
"EUU","2017",41191.9375348112
"FCS","2017",4447.3225038144
"HPC","2017",2394.50573675348
"HIC","2017",47311.475211177
"IBD","2017",13749.707532013
"IBT","2017",11218.6078378907
"IDB","2017",5380.64799389283
"IDX","2017",3012.58097100183
"IDA","2017",3805.25325198592
"LTE","2017",17790.1270831893
"LCN","2017",15801.8251983978
"LAC","2017",14799.2110057103
"TLA","2017",15715.4124644406
"LDC","2017",2789.90329678331
"LMY","2017",10950.0004790004
"LIC","2017",2154.04741054835
"LMC","2017",7196.31548508584
"MEA","2017",19902.809928842
"MNA","2017",13580.5997816021
"TMN","2017",13690.5896191143
"MIC","2017",12118.8375216638
"NAC","2017",58232.8814328669
"OED","2017",43359.4522067085
"OSS","2017",25817.8222918786
"PSS","2017",5948.90400329834
"PST","2017",46393.3558735372
"PRE","2017",3843.00459826074
"SST","2017",22810.3551327441
"SAS","2017",6496.87542853041
"TSA","2017",6496.87542853041
"SSF","2017",3830.04046212849
"SSA","2017",3827.74268654263
"TSS","2017",3830.04046212849
"UMC","2017",17784.5878713038
"WLD","2017",16952.9637191743
"AFG","2017",1972.17801844618
"ALB","2017",12943.460705263
"DZA","2017",15260.3541833902
"AGO","2017",6643.75497179095
"ATG","2017",23472.30671447
"ARG","2017",20784.7683113948
"ARM","2017",9647.4861130568
"ABW","2017",39409.2275320083
"AUS","2017",48460.04927536
"AUT","2017",52397.7543507726
"AZE","2017",17398.1635635792
"BHS","2017",30430.1694807172
"BHR","2017",47526.9042824434
"BGD","2017",3868.8223032186
"BRB","2017",18520.033429613
"BLR","2017",18836.5196818023
"BEL","2017",47840.1971355057
"BLZ","2017",8507.07486507766
"BEN","2017",2271.67541221223
"BMU","2013",52436.056406239
"BTN","2017",9371.65130892269
"BOL","2017",7559.63940406033
"BIH","2017",13107.7225889962
"BWA","2017",16988.1189870253
"BRA","2017",15483.5408303931
"BRN","2017",78836.1246818218
"BGR","2017",20947.9941690939
"BFA","2017",1862.20914581185
"BDI","2017",733.892808027606
"CPV","2017",6897.99998584351
"KHM","2017",4009.06296779907
"CMR","2017",3714.54841588187
"CAN","2017",46704.8947215251
"CYM","2017",58179.0508352884
"CAF","2017",725.94541950627
"TCD","2017",1941.17556764938
"CHL","2017",24634.9702104917
"CHN","2017",16806.7418595372
"COL","2017",14472.6134034039
"COM","2017",2745.19450735464
"COD","2017",887.212862598777
"COG","2017",5442.71371245023
"CRI","2017",17073.5187493652
"CIV","2017",3936.39760945823
"HRV","2017",26288.0444549272
"CUW","2011",27907.8661741558
"CYP","2017",34503.470334028
"CZE","2017",36327.2523444699
"DNK","2017",51364.1447000533
"DJI","2011",2705.40558882684
"DMA","2017",10016.170237172
"DOM","2017",16029.6237067323
"ECU","2017",11587.4549448534
"EGY","2017",11583.7941213573
"SLV","2017",8006.05922497714
"GNQ","2017",24387.4626601036
"ERI","2011",1510.45892910899
"EST","2017",31742.0318735094
"SWZ","2017",8640.82458475646
"ETH","2017",1899.208125671
"FJI","2017",9554.60253434927
"FIN","2017",44865.8409125116
"FRA","2017",42850.3862801105
"GAB","2017",18074.9388884729
"GMB","2017",1695.51656826751
"GEO","2017",10683.1031140164
"DEU","2017",50638.8909636504
"GHA","2017",4492.31947746167
"GRC","2017",27601.9049244747
"GRD","2017",15123.7514123666
"GTM","2017",8150.25337744888
"GIN","2017",2242.26198309085
"GNB","2017",1700.223058197
"GUY","2017",8162.60122353078
"HTI","2017",1814.94323596972
"HND","2017",4986.23135972887
"HKG","2017",61540.1583105354
"HUN","2017",28107.8918014399
"ISL","2017",53152.6988939015
"IND","2017",7059.32375663434
"IDN","2017",12283.6154277129
"IRN","2017",20840.5116488821
"IRQ","2017",16899.2034662297
"IRL","2017",75648.2328494266
"ISR","2017",38261.6751243767
"ITA","2017",39426.9407967799
"JAM","2017",9046.41429271577
"JPN","2017",43278.9893282136
"JOR","2017",9153.35239631794
"KAZ","2017",26434.9349707924
"KEN","2017",3285.43151605645
"KIR","2017",2180.41893276103
"KOR","2017",38335.2704786142
"XKX","2017",10736.8633509372
"KWT","2017",71943.0088790813
"KGZ","2017",3725.5410226732
"LAO","2017",7023.37167912398
"LVA","2017",28198.8309388051
"LBN","2017",14481.9562589084
"LSO","2017",2925.8217028905
"LBR","2017",1282.58189858258
"LBY","2017",19631.2994206805
"LTU","2017",32997.5444798078
"LUX","2017",103744.759840494
"MAC","2017",115123.078162513
"MDG","2017",1555.04479850822
"MWI","2017",1202.19712561895
"MYS","2017",29448.9482968544
"MDV","2017",16652.873904683
"MLI","2017",2213.5153179234
"MLT","2017",41034.1406463299
"MHL","2017",4237.92636111442
"MRT","2017",3949.678028569
"MUS","2017",22308.814439431
"MEX","2017",18273.4821826929
"FSM","2017",3692.95691750985
"MDA","2017",5697.83488319695
"MNG","2017",12918.4063389925
"MNE","2017",19351.8852903603
"MAR","2017",8217.45679634706
"MOZ","2017",1247.59538690485
"MMR","2017",6160.70310014627
"NAM","2017",10448.7059469407
"NRU","2017",14157.5332097174
"NPL","2017",2696.69368168045
"NLD","2017",52503.2682694591
"NZL","2017",41109.0076828361
"NIC","2017",5842.17188056692
"NER","2017",1016.60255608572
"NGA","2017",5874.70492459635
"MKD","2017",15290.3145241195
"NOR","2017",61414.2813695652
"OMN","2017",41675.3437529255
"PAK","2017",5527.37767354726
"PLW","2017",14822.6018769601
"PAN","2017",24468.9410754479
"PNG","2017",4198.79681012004
"PRY","2017",13081.582748211
"PER","2017",13434.2301072388
"PHL","2017",8342.80447947687
"POL","2017",29122.0915736121
"PRT","2017",31672.7130872356
"PRI","2017",38867.3587507544
"QAT","2017",128374.333013106
"ROU","2017",26656.7705383181
"RUS","2017",25532.9953533065
"RWA","2017",2039.16835035041
"WSM","2017",6626.63764298778
"SMR","2017",63414.0186226397
"STP","2017",3351.43619143552
"SAU","2017",53779.0214688008
"SEN","2017",3450.20906802397
"SRB","2017",15428.7993534838
"SYC","2017",29265.4611473882
"SLE","2017",1527.13201250729
"SGP","2017",93905.424163765
"SXM","2016",34529.5599371592
"SVK","2017",31616.4801336879
"SVN","2017",34868.2142797173
"SLB","2017",2421.78321914048
"ZAF","2017",13497.5453191619
"SSD","2016",1693.04606202392
"ESP","2017",37997.8523373755
"LKA","2017",12835.3326088638
"KNA","2017",28575.7220254865
"LCA","2017",13956.3376687465
"VCT","2017",11744.2470781731
"SDN","2017",4903.57552212098
"SUR","2017",15159.0255105657
"SWE","2017",50208.164755579
"CHE","2017",64712.127502521
"TJK","2017",3194.99080093676
"TZA","2017",2945.87798715248
"THA","2017",17872.2217207973
"TLS","2017",7212.86196026847
"TGO","2017",1659.90410879482
"TON","2017",5956.54321149271
"TTO","2017",31577.6729990101
"TUN","2017",11910.9523428665
"TUR","2017",26518.8528811203
"TKM","2017",17992.7665983477
"TUV","2017",3924.94460420473
"UGA","2017",1864.22458406713
"UKR","2017",8666.89653422409
"ARE","2017",73878.4676646986
"GBR","2017",43268.7835556567
"USA","2017",59531.661964344
"URY","2017",22562.4618321393
"UZB","2017",6864.99958702885
"VUT","2017",3207.83123051269
"VEN","2014",17639.8858445013
"VNM","2017",6775.8321911582
"PSE","2017",4885.34187860672
"YEM","2017",2600.87306483858
"ZMB","2017",4024.0496136132
"ZWE","2017",2428.56433466777
